voltage_YSR_1_41B	absJ_YSR_1_41B	J_YSR_1_41B	current_YSR_1_41B	time_YSR_1_41B
0.000000E+0	1.043457E-5	1.043457E-5	4.047059E-11	0.000000E+0
5.000000E-2	1.471331E-5	1.471331E-5	5.706571E-11	5.234375E-1
1.000000E-1	1.631412E-5	1.631412E-5	6.327447E-11	1.046875E+0
1.500000E-1	1.770495E-5	1.770495E-5	6.866882E-11	1.570313E+0
2.000000E-1	1.830193E-4	1.830193E-4	7.098420E-10	2.563477E+0
2.500000E-1	2.214292E-4	2.214292E-4	8.588152E-10	3.362305E+0
3.000000E-1	2.652612E-4	2.652612E-4	1.028818E-9	3.550781E+0
3.500000E-1	3.073085E-4	3.073085E-4	1.191899E-9	3.738281E+0
4.000000E-1	3.493659E-4	3.493659E-4	1.355019E-9	3.926758E+0
4.500000E-1	3.900844E-4	3.900844E-4	1.512946E-9	4.114258E+0
5.000000E-1	4.302024E-4	4.302024E-4	1.668544E-9	4.302734E+0
5.000000E-1	4.254438E-4	4.254438E-4	1.650088E-9	4.491211E+0
4.500000E-1	3.774303E-4	3.774303E-4	1.463867E-9	4.678711E+0
4.000000E-1	3.313067E-4	3.313067E-4	1.284976E-9	4.867188E+0
3.500000E-1	2.867114E-4	2.867114E-4	1.112013E-9	5.055664E+0
3.000000E-1	1.590077E-4	1.590077E-4	6.167127E-10	5.466797E+0
2.500000E-1	1.475280E-4	1.475280E-4	5.721887E-10	5.655273E+0
2.000000E-1	1.602706E-4	1.602706E-4	6.216112E-10	6.231445E+0
1.500000E-1	1.186034E-4	1.186034E-4	4.600045E-10	7.030273E+0
1.000000E-1	7.862611E-5	7.862611E-5	3.049521E-10	7.441406E+0
5.000000E-2	3.561100E-5	3.561100E-5	1.381176E-10	7.629883E+0
0.000000E+0	2.339771E-7	-2.339771E-7	-9.074824E-13	8.525391E+0
-5.000000E-2	1.433906E-5	-1.433906E-5	-5.561417E-11	9.049805E+0
-1.000000E-1	1.579229E-5	-1.579229E-5	-6.125053E-11	9.573242E+0
-1.500000E-1	1.705133E-5	-1.705133E-5	-6.613375E-11	1.009668E+1
-2.000000E-1	1.489606E-4	-1.489606E-4	-5.777450E-10	1.108984E+1
-2.500000E-1	1.841489E-4	-1.841489E-4	-7.142233E-10	1.188867E+1
-3.000000E-1	2.183430E-4	-2.183430E-4	-8.468453E-10	1.268652E+1
-3.500000E-1	1.631161E-4	-1.631161E-4	-6.326474E-10	1.309863E+1
-4.000000E-1	2.896899E-4	-2.896899E-4	-1.123565E-9	1.367383E+1
-4.500000E-1	3.268856E-4	-3.268856E-4	-1.267829E-9	1.386230E+1
-5.000000E-1	3.632125E-4	-3.632125E-4	-1.408723E-9	1.405078E+1
-5.000000E-1	3.596188E-4	-3.596188E-4	-1.394785E-9	1.423828E+1
-4.500000E-1	3.180596E-4	-3.180596E-4	-1.233597E-9	1.442676E+1
-4.000000E-1	2.787421E-4	-2.787421E-4	-1.081104E-9	1.461523E+1
-3.500000E-1	1.601293E-4	-1.601293E-4	-6.210629E-10	1.502637E+1
-3.000000E-1	1.505115E-4	-1.505115E-4	-5.837603E-10	1.521484E+1
-2.500000E-1	1.677131E-4	-1.677131E-4	-6.504770E-10	1.579102E+1
-2.000000E-1	1.304029E-4	-1.304029E-4	-5.057688E-10	1.658984E+1
-1.500000E-1	9.438048E-5	-9.438048E-5	-3.660556E-10	1.700098E+1
-1.000000E-1	5.764222E-5	-5.764222E-5	-2.235659E-10	1.718945E+1
-5.000000E-2	1.859288E-5	-1.859288E-5	-7.211265E-11	1.833496E+1
