voltage_YSR_1_41A	absJ_YSR_1_41A	J_YSR_1_41A	current_YSR_1_41A	time_YSR_1_41A
0.000000E+0	1.532744E-5	1.532744E-5	5.944763E-11	0.000000E+0
5.000000E-2	2.244242E+0	2.244242E+0	8.704314E-6	7.695313E-1
1.000000E-1	4.480791E+0	4.480791E+0	1.737879E-5	1.344727E+0
1.500000E-1	6.716849E+0	6.716849E+0	2.605136E-5	1.533203E+0
2.000000E-1	8.950678E+0	8.950678E+0	3.471529E-5	1.720703E+0
2.500000E-1	1.118336E+1	1.118336E+1	4.337477E-5	1.909180E+0
3.000000E-1	1.342086E+1	1.342086E+1	5.205294E-5	2.097656E+0
3.500000E-1	1.565906E+1	1.565906E+1	6.073380E-5	2.285156E+0
4.000000E-1	1.789786E+1	1.789786E+1	6.941704E-5	2.473633E+0
4.500000E-1	2.013303E+1	2.013303E+1	7.808615E-5	2.661133E+0
5.000000E-1	2.236790E+1	2.236790E+1	8.675412E-5	2.849609E+0
5.000000E-1	2.236829E+1	2.236829E+1	8.675564E-5	3.038086E+0
4.500000E-1	2.013486E+1	2.013486E+1	7.809324E-5	3.225586E+0
4.000000E-1	1.790052E+1	1.790052E+1	6.942733E-5	3.414063E+0
3.500000E-1	1.566225E+1	1.566225E+1	6.074620E-5	3.601563E+0
3.000000E-1	1.342464E+1	1.342464E+1	5.206759E-5	3.790039E+0
2.500000E-1	1.118725E+1	1.118725E+1	4.338985E-5	3.978516E+0
2.000000E-1	8.954268E+0	8.954268E+0	3.472921E-5	4.166016E+0
1.500000E-1	6.719989E+0	6.719989E+0	2.606354E-5	4.354492E+0
1.000000E-1	4.483011E+0	4.483011E+0	1.738740E-5	4.542969E+0
5.000000E-2	2.245980E+0	2.245980E+0	8.711057E-6	4.924805E+0
0.000000E+0	1.293326E-5	1.293326E-5	5.016176E-11	6.429688E+0
-5.000000E-2	2.232902E+0	-2.232902E+0	-8.660330E-6	7.199219E+0
-1.000000E-1	4.473489E+0	-4.473489E+0	-1.735047E-5	7.775391E+0
-1.500000E-1	6.712411E+0	-6.712411E+0	-2.603415E-5	7.962891E+0
-2.000000E-1	8.948538E+0	-8.948538E+0	-3.470699E-5	8.151367E+0
-2.500000E-1	1.118392E+1	-1.118392E+1	-4.337693E-5	8.338867E+0
-3.000000E-1	1.342357E+1	-1.342357E+1	-5.206345E-5	8.527344E+0
-3.500000E-1	1.566377E+1	-1.566377E+1	-6.075209E-5	8.715820E+0
-4.000000E-1	1.790483E+1	-1.790483E+1	-6.944404E-5	8.903320E+0
-4.500000E-1	2.014104E+1	-2.014104E+1	-7.811720E-5	9.091797E+0
-5.000000E-1	2.237765E+1	-2.237765E+1	-8.679194E-5	9.280273E+0
-5.000000E-1	2.237787E+1	-2.237787E+1	-8.679277E-5	9.467773E+0
-4.500000E-1	2.014197E+1	-2.014197E+1	-7.812082E-5	9.656250E+0
-4.000000E-1	1.790644E+1	-1.790644E+1	-6.945031E-5	9.844727E+0
-3.500000E-1	1.566582E+1	-1.566582E+1	-6.076004E-5	1.003223E+1
-3.000000E-1	1.342591E+1	-1.342591E+1	-5.207250E-5	1.022070E+1
-2.500000E-1	1.118623E+1	-1.118623E+1	-4.338589E-5	1.040820E+1
-2.000000E-1	8.950805E+0	-8.950805E+0	-3.471578E-5	1.059668E+1
