Voltage	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent
	YSR-1-25A			YSR-1-25B			YSR-1-25C			YSR-1-25D			YSR-1-25E			YSR-1-25F			YSR-1-25G		
-0.1	0.647	-0.647	-2.51E-06	5.15E-07	-3.09E-07	-1.20E-12	2.7606	-1.6564	-6.42E-06	0.4578	-0.27468	-1.06E-06	0.83622	-0.50173	-1.95E-06	1.42E-06	-8.50E-07	-3.29E-12	3.6024	-2.1615	-8.39E-06
-0.15	1.296	-1.296	-5.02E-06	2.65E-07	-1.16E-07	-4.51E-13	5.5273	-3.3164	-1.29E-05	0.9164	-0.54984	-2.13E-06	1.6742	-1.0045	-3.89E-06	6.92E-07	-4.15E-07	-1.61E-12	7.2215	-4.3329	-1.68E-05
-0.2	1.942	-1.942	-7.53E-06	2.08E-07	-1.20E-07	-4.65E-13	8.2935	-4.9761	-1.93E-05	1.3746	-0.82478	-3.20E-06	2.5116	-1.5069	-5.85E-06	6.46E-07	-3.87E-07	-1.50E-12	10.84	-6.5041	-2.52E-05
-0.25	2.588	-2.588	-1.00E-05	2.85E-07	-5.80E-08	-2.24E-13	11.056	-6.6338	-2.57E-05	1.8322	-1.0993	-4.26E-06	3.3479	-2.0088	-7.79E-06	6.40E-07	-3.84E-07	-1.49E-12	14.456	-8.6738	-3.37E-05
-0.3	3.234	-3.234	-1.25E-05	2.68E-07	-1.61E-07	-6.24E-13	13.818	-8.2907	-3.21E-05	2.2895	-1.3737	-5.33E-06	4.1834	-2.5101	-9.72E-06	6.54E-07	-3.92E-07	-1.52E-12	18.055	-10.833	-4.20E-05
-0.35	3.88	-3.88	-1.50E-05	2.35E-07	-1.41E-07	-5.47E-13	16.585	-9.9509	-3.86E-05	2.7476	-1.6486	-6.39E-06	5.0208	-3.0125	-1.17E-05	6.36E-07	-3.81E-07	-1.48E-12	21.683	-13.01	-5.05E-05
-0.4	4.526	-4.526	-1.75E-05	2.28E-07	-1.07E-07	-4.14E-13	19.353	-11.612	-4.50E-05	3.2056	-1.9234	-7.46E-06	5.8577	-3.5146	-1.36E-05	7.12E-07	-4.27E-07	-1.66E-12	25.293	-15.176	-5.89E-05
-0.45	5.168	-5.168	-2.00E-05	2.12E-07	-7.85E-08	-3.04E-13	22.121	-13.273	-5.15E-05	3.664	-2.1984	-8.52E-06	6.6951	-4.0171	-1.56E-05	6.97E-07	-4.18E-07	-1.62E-12	28.923	-17.354	-6.73E-05
-0.5	5.814	-5.814	-2.26E-05	4.50E-07	-2.70E-07	-1.05E-12	24.883	-14.93	-5.79E-05	4.1213	-2.4728	-9.60E-06	7.5306	-4.5183	-1.75E-05	6.99E-07	-4.19E-07	-1.63E-12	32.545	-19.527	-7.57E-05
-0.5	6.458	-6.458	-2.51E-05	1.89E-07	-1.13E-07	-4.40E-13	27.646	-16.588	-6.43E-05	4.5786	-2.7472	-1.06E-05	8.3664	-5.0198	-1.95E-05	7.31E-07	-4.38E-07	-1.70E-12	36.159	-21.696	-8.42E-05
