Voltage	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent
	YSR-1-25A			YSR-1-25B			YSR-1-25C			YSR-1-25D			YSR-1-25E			YSR-1-25F			YSR-1-25G		
0.5	6.48	6.48	2.51E-05	1.28E-07	7.71E-08	2.99E-13	27.652	16.591	6.44E-05	4.5982	2.7589	1.07E-05	8.3602	5.0161	1.95E-05	3.67E-07	2.20E-07	8.54E-13	37.045	22.227	8.62E-05
0.45	6.48	6.48	2.51E-05	2.75E-08	4.49E-09	1.74E-14	27.652	16.591	6.44E-05	4.5982	2.7589	1.07E-05	8.3601	5.0161	1.95E-05	1.49E-07	8.95E-08	3.47E-13	37.17	22.302	8.65E-05
0.4	5.834	5.834	2.26E-05	1.51E-07	-9.03E-08	-3.50E-13	24.89	14.934	5.79E-05	4.1376	2.4825	9.62E-06	7.525	4.515	1.75E-05	1.16E-07	-6.93E-08	-2.69E-13	33.347	20.008	7.76E-05
0.35	5.186	5.186	2.01E-05	1.84E-07	-1.11E-07	-4.30E-13	22.127	13.276	5.15E-05	3.677	2.2062	8.56E-06	6.6898	4.0139	1.56E-05	1.47E-07	-8.84E-08	-3.43E-13	29.638	17.783	6.90E-05
0.3	4.538	4.538	1.76E-05	1.90E-07	-1.14E-07	-4.41E-13	19.36	11.616	4.51E-05	3.2169	1.9301	7.49E-06	5.8531	3.5118	1.36E-05	2.27E-07	-1.36E-07	-5.30E-13	25.924	15.554	6.03E-05
0.25	3.892	3.892	1.51E-05	2.55E-07	-1.53E-07	-5.92E-13	16.593	9.956	3.86E-05	2.7563	1.6538	6.42E-06	5.0168	3.0101	1.17E-05	2.15E-07	-1.29E-07	-5.02E-13	22.214	13.329	5.17E-05
0.2	3.242	3.242	1.26E-05	3.32E-07	-1.99E-07	-7.74E-13	13.827	8.2963	3.22E-05	2.2959	1.3776	5.34E-06	4.1804	2.5083	9.72E-06	2.41E-07	-1.44E-07	-5.61E-13	18.507	11.104	4.31E-05
0.15	2.594	2.594	1.01E-05	1.59E-07	-9.11E-08	-3.53E-13	11.067	6.64	2.57E-05	1.8371	1.1023	4.28E-06	3.346	2.0076	7.79E-06	3.00E-07	-1.80E-07	-6.97E-13	14.81	8.8857	3.45E-05
0.1	1.948	1.948	7.55E-06	2.52E-07	-1.51E-07	-5.86E-13	8.3049	4.9829	1.93E-05	1.3783	0.82698	3.21E-06	2.511	1.5066	5.84E-06	2.88E-07	-1.73E-07	-6.70E-13	11.113	6.6678	2.59E-05
0.05	1.298	1.298	5.04E-06	1.61E-07	-7.91E-08	-3.07E-13	5.5398	3.3239	1.29E-05	0.91913	0.55148	2.14E-06	1.675	1.005	3.90E-06	3.04E-07	-1.82E-07	-7.08E-13	7.4128	4.4477	1.72E-05
0	0.6502	0.6502	2.52E-06	3.85E-07	-1.67E-08	-6.46E-14	2.7735	1.6641	6.45E-06	0.46011	0.27607	1.07E-06	0.83861	0.50317	1.95E-06	3.37E-07	-2.02E-07	-7.85E-13	3.7117	2.227	8.62E-06
-0.05	2.16E-05	2.16E-05	8.37E-11	4.44E-07	-2.66E-07	-1.03E-12	0.00025087	0.00015052	5.85E-10	4.32E-05	2.55E-05	9.89E-11	4.35E-05	2.46E-05	9.53E-11	3.75E-07	-2.25E-07	-8.73E-13	0.00027754	0.00016653	6.46E-10
-0.1	0.6474	-0.6474	-2.51E-06	4.82E-07	-2.60E-07	-1.01E-12	2.7603	-1.6562	-6.42E-06	0.4578	-0.27468	-1.06E-06	0.83464	-0.50078	-1.94E-06	4.00E-07	-2.40E-07	-9.30E-13	4.5937	-2.7562	-1.07E-05
-0.15	1.296	-1.296	-5.03E-06	2.52E-07	-1.51E-07	-5.86E-13	5.5268	-3.3161	-1.29E-05	0.91645	-0.54987	-2.13E-06	1.6711	-1.0026	-3.89E-06	4.14E-07	-2.48E-07	-9.63E-13	9.2917	-5.575	-2.16E-05
-0.2	1.942	-1.942	-7.54E-06	2.72E-07	-6.73E-08	-2.61E-13	8.2928	-4.9757	-1.93E-05	1.3747	-0.8248	-3.20E-06	2.5072	-1.5043	-5.84E-06	4.48E-07	-2.69E-07	-1.04E-12	13.927	-8.3564	-3.24E-05
-0.25	2.588	-2.588	-1.00E-05	2.32E-07	-1.39E-07	-5.40E-13	11.055	-6.6333	-2.57E-05	1.8323	-1.0994	-4.26E-06	3.3424	-2.0055	-7.78E-06	4.51E-07	-2.71E-07	-1.05E-12	18.447	-11.068	-4.29E-05
-0.3	3.236	-3.236	-1.26E-05	2.88E-07	-1.73E-07	-6.71E-13	13.817	-8.2901	-3.22E-05	2.2896	-1.3738	-5.33E-06	4.1771	-2.5063	-9.72E-06	4.83E-07	-2.90E-07	-1.12E-12	18.493	-11.096	-4.30E-05
-0.35	3.88	-3.88	-1.51E-05	3.04E-07	-4.54E-08	-1.76E-13	16.583	-9.9501	-3.86E-05	2.7477	-1.6486	-6.39E-06	5.0135	-3.0081	-1.17E-05	4.91E-07	-2.95E-07	-1.14E-12	22.202	-13.321	-5.17E-05
-0.4	4.53	-4.53	-1.75E-05	2.39E-07	-1.44E-07	-5.56E-13	19.351	-11.611	-4.50E-05	3.2056	-1.9233	-7.46E-06	5.85	-3.51	-1.36E-05	4.85E-07	-2.91E-07	-1.13E-12	25.912	-15.547	-6.03E-05
-0.45	5.174	-5.174	-2.01E-05	3.13E-07	-1.88E-07	-7.30E-13	22.119	-13.271	-5.15E-05	3.6638	-2.1983	-8.52E-06	6.6868	-4.0121	-1.56E-05	5.59E-07	-3.35E-07	-1.30E-12	29.633	-17.78	-6.90E-05
-0.5	5.814	-5.814	-2.26E-05	2.31E-07	-8.98E-08	-3.48E-13	24.881	-14.929	-5.79E-05	4.1209	-2.4726	-9.60E-06	7.5218	-4.5131	-1.75E-05	5.73E-07	-3.44E-07	-1.34E-12	33.874	-20.324	-7.88E-05
-0.5	6.458	-6.458	-2.51E-05	2.60E-07	-1.56E-07	-6.04E-13	27.644	-16.587	-6.43E-05	4.5779	-2.7468	-1.06E-05	8.3571	-5.0143	-1.95E-05	5.75E-07	-3.45E-07	-1.34E-12	37.33	-22.398	-8.69E-05
-0.45	6.458	-6.458	-2.51E-05	1.25E-07	-3.80E-08	-1.48E-13	27.644	-16.587	-6.43E-05	4.5779	-2.7467	-1.06E-05	8.3572	-5.0143	-1.95E-05	4.08E-07	-2.45E-07	-9.52E-13	37.177	-22.306	-8.65E-05
-0.4	5.818	-5.818	-2.26E-05	1.81E-07	1.09E-07	4.22E-13	24.881	-14.929	-5.79E-05	4.1209	-2.4725	-9.60E-06	7.522	-4.5132	-1.75E-05	1.24E-07	-7.47E-08	-2.91E-13	37.349	-22.409	-8.69E-05
-0.35	5.176	-5.176	-2.01E-05	9.72E-08	5.64E-08	2.19E-13	22.119	-13.272	-5.15E-05	3.6639	-2.1983	-8.52E-06	6.6871	-4.0123	-1.56E-05	1.28E-07	-7.70E-08	-2.99E-13	29.634	-17.781	-6.90E-05
-0.3	4.53	-4.53	-1.75E-05	4.64E-07	-1.77E-07	-6.92E-13	19.351	-11.611	-4.50E-05	3.2053	-1.9232	-7.46E-06	5.8503	-3.5102	-1.36E-05	7.69E-08	-3.79E-08	-1.47E-13	25.919	-15.551	-6.03E-05
-0.25	3.882	-3.882	-1.51E-05	2.05E-07	1.01E-07	3.90E-13	16.584	-9.9506	-3.86E-05	2.7472	-1.6483	-6.39E-06	5.0137	-3.0082	-1.17E-05	7.22E-08	-1.98E-08	-7.66E-14	22.208	-13.325	-5.17E-05
-0.2	3.236	-3.236	-1.26E-05	2.86E-07	1.08E-07	4.18E-13	13.817	-8.2903	-3.22E-05	2.2893	-1.3736	-5.33E-06	4.1772	-2.5063	-9.72E-06	1.18E-07	1.58E-08	6.10E-14	18.498	-11.099	-4.30E-05
-0.15	2.59	-2.59	-1.01E-05	1.05E-07	6.30E-08	2.45E-13	11.056	-6.6334	-2.57E-05	1.832	-1.0992	-4.26E-06	3.3423	-2.0054	-7.78E-06	7.62E-08	7.48E-09	2.90E-14	14.801	-8.8807	-3.44E-05
-0.1	1.942	-1.942	-7.54E-06	2.13E-07	1.28E-07	4.95E-13	8.2929	-4.9758	-1.93E-05	1.3746	-0.82478	-3.20E-06	2.5072	-1.5043	-5.84E-06	1.21E-07	4.37E-08	1.69E-13	11.102	-6.6614	-2.59E-05
-0.05	1.296	-1.296	-5.03E-06	1.74E-07	1.04E-07	4.04E-13	5.527	-3.3162	-1.29E-05	0.9164	-0.54984	-2.13E-06	1.6711	-1.0027	-3.89E-06	1.00E-07	4.47E-08	1.73E-13	7.3992	-4.4395	-1.72E-05
0	0.6478	-0.6478	-2.51E-06	1.89E-07	1.14E-07	4.41E-13	2.7605	-1.6563	-6.42E-06	0.45776	-0.27466	-1.06E-06	0.83463	-0.50078	-1.94E-06	1.11E-07	6.23E-08	2.42E-13	3.6967	-2.218	-8.61E-06
0	6.24E-06	6.24E-06	2.42E-11	3.59E-07	-4.13E-08	-1.61E-13	0.00035355	0.00021213	8.23E-10	2.97E-05	1.78E-05	6.93E-11	4.17E-05	2.50E-05	9.72E-11	1.31E-07	7.71E-08	3.00E-13	0.00020847	0.00012508	4.84E-10
0.05	5.80E-06	5.80E-06	2.25E-11	9.67E-08	-4.32E-08	-1.68E-13	0.00010068	6.04E-05	2.34E-10	3.79E-05	2.28E-05	8.84E-11	2.27E-05	1.36E-05	5.27E-11	5.51E-08	-2.61E-08	-1.01E-13	0.00019719	0.00011831	4.58E-10
0.1	0.651	0.651	2.52E-06	1.79E-07	1.08E-07	4.17E-13	2.7738	1.6643	6.46E-06	0.4601	0.27606	1.07E-06	0.83856	0.50314	1.95E-06	1.38E-07	8.26E-08	3.20E-13	3.7152	2.2291	8.64E-06
0.15	1.3	1.3	5.04E-06	1.49E-07	8.94E-08	3.46E-13	5.5405	3.3243	1.29E-05	0.91915	0.55149	2.14E-06	1.6749	1.0049	3.90E-06	1.73E-07	1.04E-07	4.03E-13	7.4195	4.4517	1.73E-05
0.2	1.952	1.952	7.56E-06	3.44E-07	1.97E-07	7.63E-13	8.3059	4.9835	1.93E-05	1.3782	0.82694	3.21E-06	2.5108	1.5065	5.84E-06	2.03E-07	1.22E-07	4.72E-13	11.123	6.6736	2.59E-05
0.25	2.598	2.598	1.01E-05	1.31E-07	4.98E-08	1.93E-13	11.068	6.6408	2.58E-05	1.8372	1.1023	4.28E-06	3.3458	2.0075	7.79E-06	2.07E-07	1.24E-07	4.80E-13	14.822	8.8934	3.45E-05
0.3	3.244	3.244	1.26E-05	1.36E-07	4.88E-08	1.90E-13	13.829	8.2973	3.22E-05	2.2961	1.3777	5.34E-06	4.1801	2.5081	9.72E-06	2.33E-07	1.40E-07	5.41E-13	18.524	11.114	4.31E-05
0.35	3.894	3.894	1.51E-05	2.03E-07	1.22E-07	4.73E-13	16.595	9.957	3.86E-05	2.7561	1.6537	6.41E-06	5.0164	3.0098	1.17E-05	2.90E-07	1.74E-07	6.75E-13	22.236	13.341	5.17E-05
0.4	4.54	4.54	1.76E-05	1.69E-07	7.77E-08	3.02E-13	19.362	11.617	4.51E-05	3.2165	1.9299	7.49E-06	5.8526	3.5116	1.36E-05	3.01E-07	1.80E-07	6.99E-13	25.95	15.57	6.04E-05
0.45	5.19	5.19	2.01E-05	1.89E-07	1.13E-07	4.39E-13	22.129	13.277	5.15E-05	3.6769	2.2062	8.56E-06	6.6891	4.0135	1.56E-05	3.19E-07	1.91E-07	7.42E-13	29.668	17.801	6.91E-05
0.5	5.834	5.834	2.26E-05	2.07E-07	3.06E-08	1.18E-13	24.892	14.935	5.79E-05	4.1374	2.4825	9.60E-06	7.5242	4.5145	1.75E-05	3.12E-07	1.87E-07	7.26E-13	33.374	20.024	7.77E-05
0.5	6.48	6.48	2.51E-05	1.20E-07	7.19E-08	2.79E-13	27.654	16.593	6.44E-05	4.598	2.7588	1.07E-05	8.3591	5.0155	1.95E-05	3.60E-07	2.16E-07	8.37E-13	37.074	22.245	8.63E-05
0.45	6.48	6.48	2.51E-05	8.80E-08	5.22E-08	2.03E-13	27.654	16.593	6.44E-05	4.5979	2.7587	1.07E-05	8.359	5.0154	1.95E-05	1.72E-07	1.03E-07	4.01E-13	37.074	22.244	8.63E-05
0.4	5.834	5.834	2.26E-05	1.52E-07	-9.10E-08	-3.53E-13	24.892	14.935	5.79E-05	4.1373	2.4824	9.60E-06	7.524	4.5144	1.75E-05	6.35E-08	-3.56E-08	-1.38E-13	33.366	20.02	7.76E-05
0.35	5.186	5.186	2.01E-05	1.56E-07	-9.38E-08	-3.64E-13	22.128	13.277	5.15E-05	3.6768	2.2061	8.56E-06	6.6888	4.0133	1.56E-05	1.31E-07	-7.84E-08	-3.04E-13	29.66	17.796	6.90E-05
0.3	4.538	4.538	1.76E-05	1.63E-07	-9.76E-08	-3.78E-13	19.361	11.617	4.51E-05	3.2163	1.9298	7.48E-06	5.8523	3.5114	1.36E-05	1.94E-07	-1.16E-07	-4.52E-13	25.947	15.568	6.04E-05
0.25	3.892	3.892	1.51E-05	2.11E-07	-1.27E-07	-4.91E-13	16.594	9.9565	3.86E-05	2.7557	1.6534	6.41E-06	5.0161	3.0097	1.17E-05	1.78E-07	-1.07E-07	-4.13E-13	22.233	13.34	5.17E-05
0.2	3.242	3.242	1.26E-05	1.67E-07	-1.00E-07	-3.89E-13	13.828	8.2968	3.22E-05	2.2958	1.3775	5.34E-06	4.18	2.508	9.72E-06	2.33E-07	-1.40E-07	-5.43E-13	18.525	11.115	4.31E-05
0.15	2.594	2.594	1.01E-05	2.02E-07	-1.21E-07	-4.70E-13	11.067	6.6404	2.58E-05	1.8369	1.1021	4.28E-06	3.3457	2.0074	7.79E-06	2.54E-07	-1.52E-07	-5.90E-13	14.826	8.8955	3.45E-05
0.1	1.95	1.95	7.55E-06	2.14E-07	-1.28E-07	-4.97E-13	8.3054	4.9832	1.93E-05	1.3782	0.8269	3.21E-06	2.5107	1.5064	5.84E-06	2.67E-07	-1.60E-07	-6.21E-13	11.125	6.6747	2.59E-05
0.05	1.3	1.3	5.04E-06	2.78E-07	-1.67E-07	-6.48E-13	5.54	3.324	1.29E-05	0.91911	0.55146	2.14E-06	1.6748	1.0049	3.90E-06	3.22E-07	-1.93E-07	-7.50E-13	7.4203	4.4522	1.73E-05
0	0.6504	0.6504	2.52E-06	2.07E-07	-1.24E-07	-4.81E-13	2.7736	1.6642	6.45E-06	0.46004	0.27603	1.07E-06	0.83854	0.50312	1.95E-06	3.00E-07	-1.80E-07	-6.98E-13	3.7154	2.2292	8.64E-06
-0.05	3.11E-05	3.11E-05	1.21E-10	1.69E-07	-1.01E-07	-3.93E-13	0.00037176	0.00022306	8.65E-10	4.46E-05	2.64E-05	1.02E-10	2.04E-05	1.21E-05	4.69E-11	3.58E-07	-2.15E-07	-8.33E-13	0.00025114	0.00015068	5.84E-10
-0.1	0.6476	-0.6476	-2.51E-06	2.08E-07	-1.25E-07	-4.83E-13	2.7604	-1.6562	-6.42E-06	0.45767	-0.2746	-1.06E-06	0.83454	-0.50073	-1.94E-06	3.56E-07	-2.14E-07	-8.29E-13	3.6933	-2.216	-8.60E-06
-0.15	1.296	-1.296	-5.03E-06	2.23E-07	-1.34E-07	-5.20E-13	5.527	-3.3162	-1.29E-05	0.91616	-0.54969	-2.13E-06	1.6709	-1.0025	-3.89E-06	3.94E-07	-2.36E-07	-9.17E-13	7.402	-4.4412	-1.72E-05
-0.2	1.942	-1.942	-7.54E-06	2.89E-07	-1.74E-07	-6.72E-13	8.2929	-4.9757	-1.93E-05	1.3743	-0.82456	-3.20E-06	2.5069	-1.5042	-5.84E-06	4.17E-07	-2.50E-07	-9.69E-13	11.107	-6.6642	-2.59E-05
-0.25	2.59	-2.59	-1.00E-05	2.38E-07	-1.43E-07	-5.55E-13	11.056	-6.6335	-2.57E-05	1.8318	-1.0991	-4.26E-06	3.3419	-2.0052	-7.78E-06	4.38E-07	-2.63E-07	-1.02E-12	14.809	-8.8853	-3.45E-05
-0.3	3.236	-3.236	-1.26E-05	2.13E-07	-1.28E-07	-4.96E-13	13.817	-8.2905	-3.22E-05	2.289	-1.3734	-5.33E-06	4.1768	-2.5061	-9.72E-06	5.06E-07	-3.04E-07	-1.18E-12	18.51	-11.106	-4.31E-05
-0.35	3.884	-3.884	-1.51E-05	2.90E-07	-1.74E-07	-6.74E-13	16.585	-9.9508	-3.86E-05	2.7468	-1.6481	-6.39E-06	5.0132	-3.0079	-1.17E-05	4.89E-07	-2.93E-07	-1.14E-12	22.223	-13.334	-5.17E-05
-0.4	4.53	-4.53	-1.75E-05	2.40E-07	-1.44E-07	-5.60E-13	19.352	-11.611	-4.50E-05	3.2046	-1.9228	-7.46E-06	5.8496	-3.5098	-1.36E-05	5.00E-07	-3.00E-07	-1.17E-12	25.95	-15.57	-6.04E-05
-0.45	5.174	-5.174	-2.01E-05	2.36E-07	-1.42E-07	-5.50E-13	22.12	-13.272	-5.15E-05	3.663	-2.1978	-8.52E-06	6.6865	-4.0119	-1.56E-05	5.36E-07	-3.22E-07	-1.25E-12	37.31	-22.386	-8.68E-05
-0.5	5.82	-5.82	-2.26E-05	1.98E-07	-1.19E-07	-4.62E-13	24.882	-14.929	-5.79E-05	4.1204	-2.4722	-9.60E-06	7.5214	-4.5128	-1.75E-05	5.29E-07	-3.17E-07	-1.23E-12	42.027	-25.216	-9.78E-05
-0.5	6.46	-6.46	-2.51E-05	2.21E-07	-1.33E-07	-5.15E-13	27.645	-16.587	-6.43E-05	4.5775	-2.7465	-1.06E-05	8.3565	-5.0139	-1.95E-05	5.55E-07	-3.33E-07	-1.29E-12	46.704	-28.023	-0.00010869
-0.45	6.46	-6.46	-2.51E-05	7.46E-08	-4.23E-08	-1.64E-13	27.645	-16.587	-6.43E-05	4.5774	-2.7465	-1.06E-05	8.3565	-5.0139	-1.95E-05	3.24E-07	-1.94E-07	-7.53E-13	46.705	-28.023	-0.00010869
-0.4	5.82	-5.82	-2.26E-05	7.44E-08	4.46E-08	1.73E-13	24.882	-14.929	-5.79E-05	4.1202	-2.4721	-9.60E-06	7.5213	-4.5128	-1.75E-05	1.36E-07	-8.18E-08	-3.17E-13	42.043	-25.226	-9.78E-05
-0.35	5.176	-5.176	-2.01E-05	1.70E-07	5.80E-09	2.20E-14	22.12	-13.272	-5.15E-05	3.6633	-2.198	-8.52E-06	6.6865	-4.0119	-1.56E-05	1.16E-07	-6.96E-08	-2.70E-13	37.379	-22.427	-8.70E-05
-0.3	4.53	-4.53	-1.76E-05	2.19E-07	1.31E-07	5.08E-13	19.351	-11.611	-4.50E-05	3.2051	-1.923	-7.46E-06	5.8496	-3.5098	-1.36E-05	7.77E-08	-1.70E-08	-6.60E-14	32.699	-19.619	-7.61E-05
-0.25	3.884	-3.884	-1.51E-05	1.52E-07	9.10E-08	3.53E-13	16.584	-9.9504	-3.86E-05	2.747	-1.6482	-6.39E-06	5.0132	-3.0079	-1.17E-05	1.17E-07	1.83E-08	7.10E-14	28.019	-16.811	-6.52E-05
-0.2	3.236	-3.236	-1.26E-05	1.43E-07	8.57E-08	3.32E-13	13.817	-8.2902	-3.22E-05	2.289	-1.3734	-5.33E-06	4.1768	-2.5061	-9.72E-06	7.55E-08	1.68E-08	6.52E-14	23.335	-14.001	-5.43E-05
-0.15	2.59	-2.59	-1.01E-05	1.55E-07	9.30E-08	3.61E-13	11.056	-6.6334	-2.57E-05	1.8319	-1.0992	-4.26E-06	3.342	-2.0052	-7.78E-06	1.00E-07	2.83E-08	1.10E-13	18.615	-11.169	-4.33E-05
-0.1	1.942	-1.942	-7.54E-06	1.39E-07	8.37E-08	3.25E-13	8.2929	-4.9757	-1.93E-05	1.3746	-0.82474	-3.20E-06	2.5069	-1.5042	-5.84E-06	9.44E-08	4.48E-08	1.74E-13	12.655	-7.5933	-2.95E-05
-0.05	1.296	-1.296	-5.03E-06	1.37E-07	8.20E-08	3.18E-13	5.527	-3.3162	-1.29E-05	0.91621	-0.54973	-2.13E-06	1.6709	-1.0025	-3.89E-06	1.04E-07	6.24E-08	2.42E-13	7.4115	-4.4469	-1.72E-05
0	0.648	-0.648	-2.51E-06	1.18E-07	7.08E-08	2.75E-13	2.7606	-1.6564	-6.43E-06	0.4577	-0.27462	-1.06E-06	0.83456	-0.50074	-1.94E-06	9.97E-08	5.98E-08	2.32E-13	3.6971	-2.2183	-8.61E-06
0	2.22E-05	2.22E-05	8.59E-11	1.39E-07	8.34E-08	3.24E-13	0.00016359	9.82E-05	3.80E-10	4.30E-05	2.58E-05	1.00E-10	4.38E-05	2.63E-05	1.02E-10	2.03E-07	1.22E-07	4.72E-13	0.00012286	7.37E-05	2.86E-10
0.05	1.92E-05	1.92E-05	7.43E-11	5.28E-08	1.54E-08	5.95E-14	1.90E-05	1.14E-05	4.41E-11	3.54E-05	2.12E-05	8.24E-11	2.35E-05	1.40E-05	5.44E-11	5.29E-08	-2.80E-08	-1.09E-13	0.00010138	6.08E-05	2.36E-10
0.1	0.651	0.651	2.52E-06	1.30E-07	7.80E-08	3.03E-13	2.7737	1.6642	6.45E-06	0.46007	0.27604	1.07E-06	0.83844	0.50306	1.95E-06	1.45E-07	8.70E-08	3.38E-13	3.7132	2.2279	8.64E-06
0.15	1.3	1.3	5.04E-06	2.18E-07	1.31E-07	5.07E-13	5.5404	3.3242	1.29E-05	0.91914	0.55149	2.14E-06	1.6746	1.0048	3.90E-06	1.84E-07	1.10E-07	4.29E-13	7.4236	4.4542	1.73E-05
0.2	1.952	1.952	7.56E-06	2.26E-07	1.35E-07	5.25E-13	8.3059	4.9835	1.93E-05	1.3782	0.82692	3.21E-06	2.5105	1.5063	5.84E-06	2.07E-07	1.24E-07	4.82E-13	11.13	6.6781	2.59E-05
0.25	2.598	2.598	1.01E-05	1.78E-07	1.07E-07	4.13E-13	11.068	6.6408	2.58E-05	1.837	1.1022	4.28E-06	3.3455	2.0073	7.78E-06	2.19E-07	1.31E-07	5.09E-13	14.839	8.9032	3.45E-05
0.3	3.244	3.244	1.26E-05	1.27E-07	7.63E-08	2.96E-13	13.829	8.2972	3.22E-05	2.2959	1.3775	5.34E-06	4.1796	2.5078	9.72E-06	2.53E-07	1.52E-07	5.91E-13	18.545	11.127	4.31E-05
0.35	3.894	3.894	1.51E-05	1.22E-07	7.32E-08	2.84E-13	16.595	9.957	3.86E-05	2.756	1.6536	6.41E-06	5.0157	3.0094	1.17E-05	2.65E-07	1.59E-07	6.17E-13	22.262	13.357	5.18E-05
0.4	4.542	4.542	1.76E-05	2.26E-07	1.35E-07	5.25E-13	19.361	11.617	4.51E-05	3.2165	1.9299	7.49E-06	5.8519	3.5111	1.36E-05	3.03E-07	1.82E-07	7.05E-13	25.985	15.591	6.05E-05
0.45	5.19	5.19	2.01E-05	3.07E-07	-2.34E-08	-8.98E-14	22.129	13.277	5.15E-05	3.677	2.2062	8.56E-06	6.6883	4.013	1.56E-05	3.08E-07	1.85E-07	7.18E-13	29.725	17.835	6.92E-05
0.5	5.834	5.834	2.26E-05	3.30E-07	1.98E-07	7.67E-13	24.892	14.935	5.79E-05	4.1373	2.4824	9.62E-06	7.5234	4.5141	1.75E-05	3.03E-07	1.82E-07	7.06E-13	33.458	20.075	7.79E-05
0.5	6.48	6.48	2.51E-05	2.31E-07	8.96E-08	3.48E-13	27.654	16.593	6.44E-05	4.5981	2.7589	1.07E-05	8.3581	5.0149	1.95E-05	3.35E-07	2.01E-07	7.79E-13	37.178	22.307	8.65E-05
0.45	6.48	6.48	2.51E-05	9.23E-08	2.45E-09	9.66E-15	27.654	16.593	6.44E-05	4.5982	2.7589	1.07E-05	8.3581	5.0149	1.95E-05	1.88E-07	1.13E-07	4.39E-13	37.181	22.309	8.65E-05
0.4	5.834	5.834	2.26E-05	1.34E-07	-2.83E-08	-1.10E-13	24.892	14.935	5.79E-05	4.1373	2.4824	9.62E-06	7.5233	4.514	1.75E-05	6.58E-08	-3.69E-08	-1.43E-13	33.436	20.062	7.78E-05
0.35	5.188	5.188	2.01E-05	2.02E-07	-1.21E-07	-4.70E-13	22.129	13.277	5.15E-05	3.6769	2.2061	8.56E-06	6.6882	4.0129	1.56E-05	1.24E-07	-7.47E-08	-2.89E-13	29.705	17.823	6.91E-05
0.3	4.538	4.538	1.76E-05	2.05E-07	-1.16E-07	-4.50E-13	19.362	11.617	4.51E-05	3.2163	1.9298	7.49E-06	5.8517	3.511	1.36E-05	1.62E-07	-9.74E-08	-3.78E-13	25.974	15.584	6.04E-05
0.25	3.892	3.892	1.51E-05	2.34E-07	-1.41E-07	-5.45E-13	16.595	9.9571	3.86E-05	2.756	1.6536	6.41E-06	5.0155	3.0093	1.17E-05	2.30E-07	-1.38E-07	-5.34E-13	22.251	13.351	5.18E-05
0.2	3.242	3.242	1.26E-05	2.08E-07	-1.25E-07	-4.84E-13	13.829	8.2972	3.22E-05	2.2959	1.3775	5.34E-06	4.1793	2.5076	9.72E-06	2.14E-07	-1.29E-07	-5.00E-13	18.535	11.121	4.31E-05
0.15	2.594	2.594	1.01E-05	1.87E-07	-1.12E-07	-4.36E-13	11.068	6.6407	2.58E-05	1.8371	1.1022	4.28E-06	3.3452	2.0071	7.78E-06	2.45E-07	-1.47E-07	-5.69E-13	14.83	8.8978	3.45E-05
0.1	1.95	1.95	7.56E-06	2.10E-07	-1.26E-07	-4.90E-13	8.3058	4.9835	1.93E-05	1.3782	0.82694	3.21E-06	2.5103	1.5062	5.84E-06	2.80E-07	-1.68E-07	-6.52E-13	11.129	6.6775	2.59E-05
0.05	1.3	1.3	5.04E-06	1.82E-07	-1.09E-07	-4.24E-13	5.5403	3.3242	1.29E-05	0.91907	0.55144	2.14E-06	1.6745	1.0047	3.90E-06	2.84E-07	-1.71E-07	-6.62E-13	7.422	4.4532	1.73E-05
0	0.6504	0.6504	2.52E-06	1.81E-07	-1.08E-07	-4.20E-13	2.7738	1.6643	6.45E-06	0.46011	0.27606	1.07E-06	0.83839	0.50304	1.95E-06	3.31E-07	-1.99E-07	-7.71E-13	3.716	2.2296	8.64E-06
-0.05	2.10E-05	2.10E-05	8.15E-11	2.03E-07	-1.22E-07	-4.72E-13	0.00022181	0.00013309	5.17E-10	3.72E-05	2.20E-05	8.52E-11	2.12E-05	1.26E-05	4.88E-11	3.38E-07	-2.03E-07	-7.87E-13	0.00026838	0.00016103	6.24E-10
-0.1	0.6478	-0.6478	-2.51E-06	2.37E-07	-1.42E-07	-5.53E-13	2.7605	-1.6563	-6.42E-06	0.45769	-0.27462	-1.06E-06	0.83444	-0.50067	-1.94E-06	3.59E-07	-2.15E-07	-8.35E-13	3.7009	-2.2206	-8.61E-06
-0.15	1.296	-1.296	-5.03E-06	2.84E-07	-1.70E-07	-6.61E-13	5.5272	-3.3163	-1.29E-05	0.91619	-0.54972	-2.13E-06	1.6707	-1.0024	-3.89E-06	4.15E-07	-2.49E-07	-9.67E-13	7.4085	-4.4451	-1.72E-05
-0.2	1.942	-1.942	-7.54E-06	1.73E-07	-8.48E-08	-3.28E-13	8.2933	-4.976	-1.93E-05	1.3743	-0.8246	-3.20E-06	2.5066	-1.504	-5.84E-06	3.98E-07	-2.39E-07	-9.28E-13	11.114	-6.6686	-2.59E-05
-0.25	2.59	-2.59	-1.00E-05	3.89E-07	3.73E-08	1.46E-13	11.056	-6.6336	-2.57E-05	1.8317	-1.099	-4.26E-06	3.3416	-2.0049	-7.78E-06	4.32E-07	-2.59E-07	-1.00E-12	14.821	-8.8926	-3.45E-05
