3.26E-10,8.33E-10,3.20E-10,4.84E-10,2.86E-10,3.41E-10,7.46E-10,5.03E-10,5.60E-10,3.28E-10,4.73E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00014026,8.42E-05,3.26E-10
3.56E-11,8.63E-10,6.46E-10,5.84E-10,6.24E-10,6.56E-10,3.73E-10,3.53E-10,3.1E-10,6.59E-10,5.10E-10,,4.00E+00,,2.39892,,9.30E-06,,,,3.98E+01,,-2.39E+01,,-9.25E-05,,1.53E-05,9.17E-06,3.56E-11
-8.39E-06,-0.0000084,-0.0000107,-0.0000086,-0.00000861,-0.0000109,-0.0000108,-0.0000109,-0.00000863,-0.00000862,-9.46E-06,,2.03E-04,4.06E+00,0.00012182,-2.43E+00,4.73E-10,-9.46E-06,,,,,,,,,3.6024,-2.1615,-8.39E-06
-1.68E-05,-0.0000169,-0.0000216,-0.0000172,-0.0000172,-0.0000217,-0.0000217,-0.0000218,-0.0000173,-0.0000173,-1.90E-05,,2.19E-04,8.10E+00,0.000131607,-4.86E+00,5.10E-10,-1.89E-05,,,,,,,,,7.2215,-4.3329,-1.68E-05
-2.52E-05,-0.0000255,-0.0000324,-0.0000259,-0.0000259,-0.0000326,-0.0000326,-0.0000326,-0.0000259,-0.000026,-2.85E-05,,4.06E+00,1.24E+01,-2.43302,-7.43E+00,-9.46E-06,-2.88E-05,,,,,,,,,10.84,-6.5041,-2.52E-05
-3.37E-05,-0.0000341,-0.0000429,-0.0000345,-0.0000345,-0.0000435,-0.0000434,-0.0000435,-0.0000345,-0.0000346,-3.79E-05,,8.15E+00,1.67E+01,-4.88737,-1.00E+01,-1.90E-05,-3.88E-05,,,,,,,,,14.456,-8.6738,-3.37E-05
-4.20E-05,-0.0000427,-0.000043,-0.0000431,-0.0000497,-0.0000544,-0.0000542,-0.0000543,-0.0000432,-0.0000432,-4.70E-05,,1.22E+01,2.09E+01,-7.33594,-1.25E+01,-2.85E-05,-4.86E-05,,,,,,,,,18.055,-10.833,-4.20E-05
-5.05E-05,-0.0000513,-0.0000517,-0.0000517,-0.000061,-0.0000653,-0.0000651,-0.0000652,-0.0000518,-0.0000518,-5.65E-05,,1.63E+01,2.50E+01,-9.77522,-1.50E+01,-3.79E-05,-5.82E-05,,,,,,,,,21.683,-13.01,-5.05E-05
-5.89E-05,-0.00006,-0.0000603,-0.0000604,-0.0000723,-0.0000762,-0.000076,-0.000076,-0.0000605,-0.0000605,-6.61E-05,,2.02E+01,2.92E+01,-12.1141,-1.75E+01,-4.70E-05,-6.81E-05,,,,,,,,,25.293,-15.176,-5.89E-05
-6.73E-05,-0.0000686,-0.000069,-0.0000868,-0.0000826,-0.0000871,-0.0000868,-0.0000869,-0.0000692,-0.0000692,-7.74E-05,,2.43E+01,3.34E+01,-14.5793,-2.01E+01,-5.65E-05,-7.78E-05,,,,,,,,,28.923,-17.354,-6.73E-05
-7.57E-05,-0.0000773,-0.0000788,-0.0000978,-0.0000935,-0.0000979,-0.0000977,-0.0000977,-0.0000779,-0.0000779,-8.72E-05,,2.84E+01,3.81E+01,-17.0426,-2.28E+01,-6.61E-05,-8.86E-05,,,,,,,,,32.545,-19.527,-7.57E-05
-8.42E-05,-0.0000859,-0.0000869,-0.00010869,-0.00010389,-0.00010877,-0.0001085,-0.00010818,-0.0000866,-0.0000969,-9.79E-05,,3.32E+01,4.20E+01,-19.9424,-2.52E+01,-7.74E-05,-9.77E-05,,,,,,,,,36.159,-21.696,-8.42E-05
