3.26E-10,8.33E-10,3.20E-10,4.84E-10,2.86E-10,3.41E-10,7.46E-10,5.03E-10,5.60E-10,3.28E-10,4.73E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00014026,8.42E-05,3.26E-10
6.91E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.705,17.823,6.91E-05
6.04E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.974,15.584,6.04E-05
5.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.251,13.351,5.18E-05
4.31E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.535,11.121,4.31E-05
3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.83,8.8978,3.45E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.129,6.6775,2.59E-05
1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.422,4.4532,1.73E-05
8.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.716,2.2296,8.64E-06
6.24E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00026838,0.00016103,6.24E-10
-8.61E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7009,-2.2206,-8.61E-06
-1.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4085,-4.4451,-1.72E-05
-2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.114,-6.6686,-2.59E-05
-3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.821,-8.8926,-3.45E-05
-4.97E-05,,,,,,,,,,,,,,,,,,,,,,,,,,21.35,-12.81,-4.97E-05
-6.10E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.238,-15.743,-6.10E-05
-7.23E-05,,,,,,,,,,,,,,,,,,,,,,,,,,31.075,-18.645,-7.23E-05
-8.26E-05,,,,,,,,,,,,,,,,,,,,,,,,,,35.492,-21.295,-8.26E-05
-9.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,40.202,-24.121,-9.35E-05
-0.00010389,,,,,,,,,,,,,,,,,,,,,,,,,,44.642,-26.785,-0.00010389
-0.00010377,,,,,,,,,,,,,,,,,,,,,,,,,,44.591,-26.754,-0.00010377
-9.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,39.62,-23.772,-9.22E-05
-8.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,34.761,-20.857,-8.09E-05
-7.16E-05,,,,,,,,,,,,,,,,,,,,,,,,,,30.782,-18.469,-7.16E-05
-6.19E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.616,-15.97,-6.19E-05
-5.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.881,-13.729,-5.33E-05
-4.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.606,-11.163,-4.33E-05
-3.26E-05,,,,,,,,,,,,,,,,,,,,,,,,,,13.986,-8.3917,-3.26E-05
-2.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3299,-5.5979,-2.17E-05
-1.08E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6608,-2.7965,-1.08E-05
3.41E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014643,8.79E-05,3.41E-10
7.74E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.33E-05,2.00E-05,7.74E-11
1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6918,2.8151,1.09E-05
2.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3696,5.6217,2.18E-05
3.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.045,8.4268,3.27E-05
4.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.714,11.228,4.35E-05
5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.379,14.028,5.44E-05
6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.051,16.831,6.53E-05
7.61E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.724,19.634,7.61E-05
8.70E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.397,22.438,8.70E-05
9.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.065,25.239,9.79E-05
0.00010874,,,,,,,,,,,,,,,,,,,,,,,,,,46.728,28.037,0.00010874
0.00010875,,,,,,,,,,,,,,,,,,,,,,,,,,46.731,28.039,0.00010875
9.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.074,25.244,9.79E-05
8.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.414,22.448,8.71E-05
7.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.737,19.642,7.62E-05
6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.06,16.836,6.53E-05
5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.383,14.03,5.44E-05
4.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.716,11.23,4.35E-05
3.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.046,8.4276,3.27E-05
2.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3701,5.6221,2.18E-05
1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6922,2.8153,1.09E-05
6.56E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00028149,0.00016889,6.56E-10
-1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6547,-2.7928,-1.09E-05
-2.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3479,-5.6087,-2.17E-05
-3.26E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.026,-8.4155,-3.26E-05
-4.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.698,-11.219,-4.35E-05
-5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.368,-14.021,-5.44E-05
-6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.047,-16.828,-6.53E-05
-7.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.727,-19.636,-7.62E-05
-8.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.409,-22.445,-8.71E-05
-9.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.079,-25.247,-9.79E-05
-0.00010877,,,,,,,,,,,,,,,,,,,,,,,,,,46.739,-28.044,-0.00010877
-0.00010877,,,,,,,,,,,,,,,,,,,,,,,,,,46.74,-28.044,-0.00010877
-9.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.076,-25.245,-9.79E-05
-8.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.411,-22.447,-8.71E-05
-7.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.729,-19.638,-7.62E-05
-6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.049,-16.829,-6.53E-05
-5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.37,-14.022,-5.44E-05
-4.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,-11.22,-4.35E-05
-3.26E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.027,-8.416,-3.26E-05
-2.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3482,-5.6089,-2.17E-05
-1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6679,-2.8007,-1.09E-05
7.46E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00031978,0.00019187,7.46E-10
5.06E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00021736,0.00013042,5.06E-10
1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6933,2.816,1.09E-05
2.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.372,5.6232,2.18E-05
3.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.048,8.429,3.27E-05
4.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.719,11.231,4.35E-05
5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.388,14.033,5.44E-05
6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.067,16.84,6.53E-05
7.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.747,19.648,7.62E-05
8.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.428,22.457,8.71E-05
9.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.102,25.261,9.80E-05
0.00010881,,,,,,,,,,,,,,,,,,,,,,,,,,46.759,28.055,0.00010881
0.00010881,,,,,,,,,,,,,,,,,,,,,,,,,,46.759,28.055,0.00010881
9.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.095,25.257,9.80E-05
8.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.427,22.456,8.71E-05
7.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.746,19.648,7.62E-05
6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.067,16.84,6.53E-05
5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.388,14.033,5.44E-05
4.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.718,11.231,4.35E-05
3.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.047,8.4281,3.27E-05
2.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3699,5.622,2.18E-05
1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6915,2.8149,1.09E-05
3.73E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016029,9.62E-05,3.73E-10
-1.08E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6285,-2.7771,-1.08E-05
-2.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3326,-5.5995,-2.17E-05
-3.26E-05,,,,,,,,,,,,,,,,,,,,,,,,,,13.997,-8.3984,-3.26E-05
-4.34E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.653,-11.192,-4.34E-05
-5.42E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.308,-13.985,-5.42E-05
-6.51E-05,,,,,,,,,,,,,,,,,,,,,,,,,,27.974,-16.784,-6.51E-05
-7.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.645,-19.587,-7.60E-05
-8.68E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.314,-22.389,-8.68E-05
-9.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,41.973,-25.184,-9.77E-05
-0.0001085,,,,,,,,,,,,,,,,,,,,,,,,,,46.626,-27.976,-0.0001085
-0.00010851,,,,,,,,,,,,,,,,,,,,,,,,,,46.629,-27.977,-0.00010851
-9.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,41.978,-25.187,-9.77E-05
-8.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.332,-22.399,-8.69E-05
-7.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.663,-19.598,-7.60E-05
-6.51E-05,,,,,,,,,,,,,,,,,,,,,,,,,,27.994,-16.796,-6.51E-05
-5.43E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.324,-13.995,-5.43E-05
-4.34E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.663,-11.198,-4.34E-05
-3.26E-05,,,,,,,,,,,,,,,,,,,,,,,,,,13.999,-8.3996,-3.26E-05
-2.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3304,-5.5982,-2.17E-05
-1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.659,-2.7954,-1.09E-05
5.03E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002157,0.00012942,5.03E-10
3.23E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013907,8.34E-05,3.23E-10
1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6921,2.8152,1.09E-05
2.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3709,5.6225,2.18E-05
3.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.048,8.429,3.27E-05
4.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,11.232,4.36E-05
5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.391,14.035,5.44E-05
6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.072,16.843,6.53E-05
7.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.752,19.651,7.62E-05
8.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.435,22.461,8.71E-05
9.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.109,25.266,9.80E-05
0.00010884,,,,,,,,,,,,,,,,,,,,,,,,,,46.768,28.061,0.00010884
0.00010883,,,,,,,,,,,,,,,,,,,,,,,,,,46.767,28.06,0.00010883
9.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,42.103,25.262,9.80E-05
8.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.436,22.461,8.71E-05
7.62E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.754,19.653,7.62E-05
6.53E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.073,16.844,6.53E-05
5.44E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.393,14.036,5.44E-05
4.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.723,11.234,4.36E-05
3.27E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.05,8.4299,3.27E-05
2.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3719,5.6231,2.18E-05
1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6926,2.8156,1.09E-05
3.53E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015201,9.12E-05,3.53E-10
-1.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.6663,-2.7998,-1.09E-05
-2.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,9.3439,-5.6064,-2.18E-05
-3.26E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.018,-8.4107,-3.26E-05
-4.35E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.685,-11.211,-4.35E-05
-5.43E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.346,-14.007,-5.43E-05
-6.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.013,-16.808,-6.52E-05
-7.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.675,-19.605,-7.60E-05
-8.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.331,-22.399,-8.69E-05
-9.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,41.968,-25.181,-9.77E-05
-0.00010818,,,,,,,,,,,,,,,,,,,,,,,,,,46.489,-27.893,-0.00010818
-0.00010802,,,,,,,,,,,,,,,,,,,,,,,,,,46.416,-27.85,-0.00010802
-9.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,41.621,-24.972,-9.69E-05
-8.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,36.903,-22.142,-8.59E-05
-7.49E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.17,-19.302,-7.49E-05
-6.39E-05,,,,,,,,,,,,,,,,,,,,,,,,,,27.465,-16.479,-6.39E-05
-5.28E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.705,-13.623,-5.28E-05
-4.13E-05,,,,,,,,,,,,,,,,,,,,,,,,,,17.77,-10.662,-4.13E-05
-2.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.973,-7.1837,-2.79E-05
-1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4108,-4.4465,-1.73E-05
-8.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7001,-2.2201,-8.62E-06
5.60E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00024095,0.00014457,5.60E-10
4.76E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00020493,0.00012296,4.76E-10
8.67E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7173,2.2304,8.67E-06
1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4334,4.46,1.73E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.149,6.6891,2.59E-05
3.46E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.855,8.9133,3.46E-05
4.32E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.567,11.14,4.32E-05
5.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.282,13.369,5.18E-05
6.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.008,15.605,6.05E-05
6.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.756,17.854,6.92E-05
7.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.483,20.09,7.79E-05
8.66E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.226,22.336,8.66E-05
8.67E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.241,22.344,8.67E-05
7.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.486,20.092,7.79E-05
6.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.747,17.848,6.92E-05
6.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.012,15.607,6.05E-05
5.19E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.283,13.37,5.19E-05
4.32E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.563,11.138,4.32E-05
3.46E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.854,8.9126,3.46E-05
2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.146,6.6875,2.59E-05
1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.435,4.461,1.73E-05
8.67E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7226,2.2336,8.67E-06
3.10E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013353,8.01E-05,3.10E-10
-8.63E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7031,-2.2219,-8.63E-06
-1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4161,-4.4496,-1.73E-05
-2.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.129,-6.6774,-2.59E-05
-3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.839,-8.9033,-3.45E-05
-4.32E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.552,-11.131,-4.32E-05
-5.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.27,-13.362,-5.18E-05
-6.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,25.99,-15.594,-6.05E-05
-6.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.726,-17.835,-6.92E-05
-7.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.461,-20.077,-7.79E-05
-8.66E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.208,-22.325,-8.66E-05
-8.66E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.232,-22.339,-8.66E-05
-7.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.475,-20.085,-7.79E-05
-6.93E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.753,-17.852,-6.93E-05
-6.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.063,-15.638,-6.06E-05
-5.20E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.354,-13.413,-5.20E-05
-4.34E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.629,-11.177,-4.34E-05
-3.46E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.879,-8.9273,-3.46E-05
-2.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.169,-6.7012,-2.60E-05
-1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4424,-4.4654,-1.73E-05
-8.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7111,-2.2266,-8.64E-06
3.28E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014123,8.47E-05,3.28E-10
7.28E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.13E-05,1.88E-05,7.28E-11
8.69E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7348,2.2409,8.69E-06
1.74E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4627,4.4776,1.74E-05
2.61E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.19,6.7143,2.61E-05
3.47E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.913,8.9475,3.47E-05
4.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.621,11.173,4.33E-05
5.21E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,13.434,5.21E-05
6.08E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.12,15.672,6.08E-05
6.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.872,17.923,6.95E-05
7.81E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.585,20.151,7.81E-05
8.70E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.374,22.425,8.70E-05
8.70E-05,,,,,,,,,,,,,,,,,,,,,,,,,,37.392,22.435,8.70E-05
7.82E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.622,20.173,7.82E-05
6.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.882,17.929,6.95E-05
6.08E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.123,15.674,6.08E-05
5.21E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.398,13.439,5.21E-05
4.34E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.661,11.197,4.34E-05
3.47E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.93,8.9577,3.47E-05
2.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.198,6.7188,2.60E-05
1.74E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4641,4.4785,1.74E-05
8.70E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.7352,2.2411,8.70E-06
6.59E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00028274,0.00016964,6.59E-10
-8.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6947,-2.2168,-8.62E-06
-1.73E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.4268,-4.4561,-1.73E-05
-2.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,11.15,-6.6899,-2.60E-05
-3.46E-05,,,,,,,,,,,,,,,,,,,,,,,,,,14.854,-8.9123,-3.46E-05
-4.32E-05,,,,,,,,,,,,,,,,,,,,,,,,,,18.565,-11.139,-4.32E-05
-5.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,22.279,-13.368,-5.18E-05
-6.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,26.006,-15.604,-6.05E-05
-6.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,29.745,-17.847,-6.92E-05
-7.79E-05,,,,,,,,,,,,,,,,,,,,,,,,,,33.487,-20.092,-7.79E-05
-9.69E-05,,,,,,,,,,,,,,,,,,,,,,,,,,41.633,-24.98,-9.69E-05
-9.65E-05,,,,,,,,,,,,,,,,,,,,,,,,,,41.448,-24.869,-9.65E-05
-8.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,36.614,-21.968,-8.52E-05
-7.61E-05,,,,,,,,,,,,,,,,,,,,,,,,,,32.705,-19.623,-7.61E-05
-6.58E-05,,,,,,,,,,,,,,,,,,,,,,,,,,28.303,-16.982,-6.58E-05
-5.52E-05,,,,,,,,,,,,,,,,,,,,,,,,,,23.704,-14.223,-5.52E-05
-4.54E-05,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,-11.7,-4.54E-05
-3.58E-05,,,,,,,,,,,,,,,,,,,,,,,,,,15.383,-9.2297,-3.58E-05
-3.02E-05,,,,,,,,,,,,,,,,,,,,,,,,,,12.956,-7.7734,-3.02E-05
-2.04E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.7652,-5.2591,-2.04E-05
-1.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.4922,-2.6953,-1.05E-05
