3.82E-11,9.07E-11,5.17E-11,9.72E-11,1.02E-10,7.61E-11,3.81E-11,6.85E-11,4.18E-11,7.53E-11,6.80E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.64E-05,9.84E-06,3.82E-11
1.95E-06,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,0.00000195,1.95E-06,,1.68E+00,,1.00499,,3.90E-06,,,,7.52E+00,,-4.51E+00,,-1.75E-05,,0.83946,0.50367,1.95E-06
8.18E-11,3.07E-11,9.53E-11,4.69E-11,4.88E-11,5.03E-11,2.86E-11,5.12E-11,9.75E-11,8.17E-11,6.13E-11,,8.39E-01,,0.50312,,1.95E-06,,,,7.94E+00,,-4.76E+00,,-1.85E-05,,3.56E-05,2.11E-05,8.18E-11
-1.95E-06,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-1.94E-06,,2.92E-05,8.35E-01,0.000017519,-5.01E-01,6.80E-11,-1.94E-06,,,,,,,,,0.83622,-0.50173,-1.95E-06
-3.89E-06,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-3.89E-06,,2.69E-05,1.67E+00,0.00001581,-1.00E+00,6.13E-11,-3.89E-06,,,,,,,,,1.6742,-1.0045,-3.89E-06
-5.85E-06,-0.00000584,-0.00000584,-0.00000584,-0.00000584,-0.00000584,-0.00000583,-0.00000583,-0.00000583,-0.00000583,-5.84E-06,,8.35E-01,2.51E+00,-0.500782,-1.50E+00,-1.94E-06,-5.84E-06,,,,,,,,,2.5116,-1.5069,-5.85E-06
-7.79E-06,-0.00000778,-0.00000778,-0.00000778,-0.00000778,-0.00000778,-0.00000778,-0.00000777,-0.00000777,-0.00000777,-7.78E-06,,1.67E+00,3.34E+00,-1.00264,-2.01E+00,-3.89E-06,-7.78E-06,,,,,,,,,3.3479,-2.0088,-7.79E-06
-9.72E-06,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-9.72E-06,,2.51E+00,4.18E+00,-1.50429,-2.51E+00,-5.84E-06,-9.72E-06,,,,,,,,,4.1834,-2.5101,-9.72E-06
-1.17E-05,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-1.17E-05,,3.34E+00,5.01E+00,-2.00535,-3.01E+00,-7.78E-06,-1.17E-05,,,,,,,,,5.0208,-3.0125,-1.17E-05
-1.36E-05,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-1.36E-05,,4.18E+00,5.85E+00,-2.50622,-3.51E+00,-9.72E-06,-1.36E-05,,,,,,,,,5.8577,-3.5146,-1.36E-05
-1.56E-05,-0.0000156,-0.0000156,-0.0000156,-0.0000155,-0.0000155,-0.0000155,-0.0000155,-0.0000155,-0.0000155,-1.55E-05,,5.01E+00,6.69E+00,-3.00803,-4.01E+00,-1.17E-05,-1.55E-05,,,,,,,,,6.6951,-4.0171,-1.56E-05
-1.75E-05,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-1.75E-05,,5.85E+00,7.52E+00,-3.50991,-4.51E+00,-1.36E-05,-1.75E-05,,,,,,,,,7.5306,-4.5183,-1.75E-05
-1.95E-05,-0.0000195,-0.0000195,-0.0000195,-0.0000195,-0.0000194,-0.0000194,-0.0000194,-0.0000194,-0.0000194,-1.95E-05,,6.69E+00,8.36E+00,-4.01198,-5.01E+00,-1.55E-05,-1.95E-05,,,,,,,,,8.3664,-5.0198,-1.95E-05
-1.95E-05,-0.0000195,-0.0000195,-0.0000195,-0.0000195,-0.0000194,-0.0000194,-0.0000194,-0.0000194,-0.0000194,-1.95E-05,,7.52E+00,8.36E+00,-4.51289,-5.01E+00,-1.75E-05,-1.95E-05,,,,,,,,,8.3659,-5.0195,-1.95E-05
-1.75E-05,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-0.0000175,-1.75E-05,,8.36E+00,,-5.01397,,-1.95E-05,,,,,,,,,,7.5298,-4.5179,-1.75E-05
-1.56E-05,-0.0000156,-0.0000156,-0.0000156,-0.0000155,-0.0000155,-0.0000155,-0.0000155,-0.0000155,-0.0000155,-1.55E-05,,8.36E+00,,-5.01397,,-1.95E-05,,,,,,,,,,6.6938,-4.0163,-1.56E-05
-1.36E-05,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-0.0000136,-1.36E-05,,7.52E+00,,-4.51289,,-1.75E-05,,,,,,,,,,5.8559,-3.5136,-1.36E-05
-1.17E-05,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-0.0000117,-1.17E-05,,6.69E+00,,-4.01193,,-1.55E-05,,,,,,,,,,5.0183,-3.011,-1.17E-05
-9.72E-06,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-0.00000972,-9.72E-06,,5.85E+00,,-3.50986,,-1.36E-05,,,,,,,,,,4.1811,-2.5086,-9.72E-06
-7.78E-06,-0.00000778,-0.00000778,-0.00000778,-0.00000778,-0.00000778,-0.00000778,-0.00000777,-0.00000777,-0.00000777,-7.78E-06,,5.01E+00,,-3.00793,,-1.17E-05,,,,,,,,,,3.3454,-2.0072,-7.78E-06
-5.84E-06,-0.00000584,-0.00000584,-0.00000584,-0.00000584,-0.00000583,-0.00000583,-0.00000583,-0.00000583,-0.00000583,-5.84E-06,,4.18E+00,,-2.50608,,-9.72E-06,,,,,,,,,,2.5094,-1.5056,-5.84E-06
-3.89E-06,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-0.00000389,-3.89E-06,,3.34E+00,,-2.00518,,-7.78E-06,,,,,,,,,,1.6726,-1.0035,-3.89E-06
-1.94E-06,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-0.00000194,-1.94E-06,,2.51E+00,,-1.50417,,-5.84E-06,,,,,,,,,,0.83536,-0.50122,-1.94E-06
9.07E-11,,,,,,,,,,,,1.67E+00,,-1.00254,,-3.89E-06,,,,,,,,,,3.90E-05,2.34E-05,9.07E-11
3.69E-11,,,,,,,,,,,,8.35E-01,,-0.500734,,-1.94E-06,,,,,,,,,,1.59E-05,9.49E-06,3.69E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83915,0.50349,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6761,1.0057,3.90E-06
5.85E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5127,1.5076,5.85E-06
7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3483,2.009,7.79E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1831,2.5099,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,3.012,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.857,3.5142,1.36E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.694,4.0164,1.56E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5298,4.5179,1.75E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3651,5.019,1.95E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3649,5.0189,1.95E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5294,4.5176,1.75E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6936,4.0161,1.56E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8563,3.5138,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0196,3.0117,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1828,2.5097,9.72E-06
7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3478,2.0087,7.79E-06
5.85E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5123,1.5074,5.85E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6758,1.0055,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83898,0.50339,1.95E-06
3.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.42E-05,7.92E-06,3.07E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83497,-0.50098,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6718,-1.0031,-3.89E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5082,-1.5049,-5.84E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3437,-2.0062,-7.78E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1788,-2.5073,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0155,-3.0093,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8523,-3.5114,-1.36E-05
-1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6893,-4.0136,-1.56E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5245,-4.5147,-1.75E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3599,-5.0159,-1.95E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3599,-5.0159,-1.95E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5244,-4.5147,-1.75E-05
-1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6891,-4.0135,-1.56E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8521,-3.5113,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0151,-3.0091,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1782,-2.5069,-9.72E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.343,-2.0058,-7.78E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5077,-1.5046,-5.84E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6714,-1.0028,-3.89E-06
