3.82E-11,9.07E-11,5.17E-11,9.72E-11,1.02E-10,7.61E-11,3.81E-11,6.85E-11,4.18E-11,7.53E-11,6.80E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.64E-05,9.84E-06,3.82E-11
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8517,3.511,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0155,3.0093,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1793,2.5076,9.72E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3452,2.0071,7.78E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5103,1.5062,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6745,1.0047,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83839,0.50304,1.95E-06
4.88E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.12E-05,1.26E-05,4.88E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83444,-0.50067,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6707,-1.0024,-3.89E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5066,-1.504,-5.84E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3416,-2.0049,-7.78E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1763,-2.5058,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0126,-3.0075,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8489,-3.5094,-1.36E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6856,-4.0114,-1.55E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5204,-4.5122,-1.75E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3555,-5.0133,-1.95E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3556,-5.0134,-1.95E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5206,-4.5123,-1.75E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6859,-4.0115,-1.55E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8492,-3.5095,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0128,-3.0077,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1765,-2.5059,-9.72E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3417,-2.005,-7.78E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5068,-1.5041,-5.84E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6708,-1.0025,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83447,-0.50068,-1.94E-06
7.61E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.27E-05,1.96E-05,7.61E-11
5.26E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.27E-05,1.35E-05,5.26E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83842,0.50305,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6745,1.0047,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5104,1.5062,5.84E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3452,2.0071,7.78E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1793,2.5076,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0154,3.0092,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8516,3.511,1.36E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6879,4.0127,1.56E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.523,4.5138,1.75E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3577,5.0146,1.95E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3575,5.0145,1.95E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5227,4.5136,1.75E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6877,4.0126,1.56E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8513,3.5108,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0152,3.0091,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1792,2.5075,9.72E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3451,2.007,7.78E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5103,1.5062,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6745,1.0047,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83838,0.50303,1.95E-06
5.03E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.19E-05,1.30E-05,5.03E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83441,-0.50064,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6707,-1.0024,-3.89E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5066,-1.5039,-5.84E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3414,-2.0048,-7.78E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1761,-2.5057,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0124,-3.0074,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8487,-3.5092,-1.36E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6854,-4.0112,-1.55E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5202,-4.5121,-1.75E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3552,-5.0131,-1.94E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3553,-5.0132,-1.94E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5203,-4.5122,-1.75E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6855,-4.0113,-1.55E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8489,-3.5093,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0125,-3.0075,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1762,-2.5057,-9.72E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3415,-2.0049,-7.78E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5066,-1.504,-5.83E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6706,-1.0024,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.8344,-0.50064,-1.94E-06
3.81E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.64E-05,9.85E-06,3.81E-11
4.08E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.77E-05,1.05E-05,4.08E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83836,0.50302,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6745,1.0047,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5102,1.5061,5.84E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.345,2.007,7.78E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.179,2.5074,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.015,3.009,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8511,3.5107,1.36E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6874,4.0125,1.55E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5224,4.5134,1.75E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3571,5.0143,1.95E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3571,5.0142,1.95E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5222,4.5133,1.75E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6872,4.0123,1.55E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.851,3.5106,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0148,3.0089,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1788,2.5073,9.72E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3448,2.0069,7.78E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5101,1.5061,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6744,1.0046,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83836,0.50302,1.95E-06
2.86E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.26E-05,7.38E-06,2.86E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83432,-0.50059,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6705,-1.0023,-3.89E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5064,-1.5038,-5.83E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3412,-2.0047,-7.78E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1759,-2.5055,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.012,-3.0072,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8485,-3.5091,-1.36E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6851,-4.0111,-1.55E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5198,-4.5119,-1.75E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3548,-5.0129,-1.94E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3548,-5.0129,-1.94E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5198,-4.5119,-1.75E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.685,-4.011,-1.55E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8484,-3.5091,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0122,-3.0073,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.176,-2.5056,-9.72E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3413,-2.0048,-7.78E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5064,-1.5038,-5.83E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6706,-1.0023,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83437,-0.50062,-1.94E-06
6.85E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.94E-05,1.77E-05,6.85E-11
5.71E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.45E-05,1.47E-05,5.71E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83834,0.503,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6744,1.0047,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5101,1.5061,5.84E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3448,2.0069,7.78E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1788,2.5073,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0148,3.0089,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8509,3.5105,1.36E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6872,4.0123,1.55E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.522,4.5132,1.75E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3567,5.014,1.95E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3566,5.014,1.95E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.522,4.5132,1.75E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.687,4.0122,1.55E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8507,3.5104,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0147,3.0088,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1787,2.5072,9.72E-06
7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3447,2.0068,7.79E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,1.506,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6743,1.0046,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83828,0.50297,1.95E-06
5.12E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.22E-05,1.32E-05,5.12E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83435,-0.50061,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6705,-1.0023,-3.89E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5062,-1.5037,-5.83E-06
-7.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.341,-2.0046,-7.77E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1756,-2.5053,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0118,-3.0071,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8481,-3.5088,-1.36E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6846,-4.0108,-1.55E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5194,-4.5117,-1.75E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3543,-5.0126,-1.94E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3543,-5.0126,-1.94E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5195,-4.5117,-1.75E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6847,-4.0108,-1.55E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8482,-3.5089,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0119,-3.0071,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1756,-2.5054,-9.72E-06
-7.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3411,-2.0046,-7.77E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5063,-1.5038,-5.83E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6705,-1.0023,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83436,-0.50062,-1.94E-06
4.18E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.80E-05,1.08E-05,4.18E-11
3.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.53E-05,9.14E-06,3.55E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83819,0.50291,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6742,1.0045,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5098,1.5059,5.84E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3445,2.0067,7.78E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1785,2.5071,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0143,3.0086,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8504,3.5102,1.36E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6866,4.012,1.55E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5215,4.5129,1.75E-05
1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.356,5.0136,1.94E-05
1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.356,5.0136,1.94E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5213,4.5128,1.75E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6863,4.0118,1.55E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8502,3.5101,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0142,3.0085,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1783,2.507,9.72E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3444,2.0066,7.78E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5097,1.5058,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6741,1.0044,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83818,0.50291,1.95E-06
9.75E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.22E-05,2.51E-05,9.75E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83425,-0.50055,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6703,-1.0022,-3.89E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.506,-1.5036,-5.83E-06
-7.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3407,-2.0044,-7.77E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1751,-2.5051,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0112,-3.0067,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8475,-3.5085,-1.36E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6839,-4.0104,-1.55E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5185,-4.5111,-1.75E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3534,-5.012,-1.94E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3535,-5.0121,-1.94E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5186,-4.5112,-1.75E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.684,-4.0104,-1.55E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8475,-3.5085,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0113,-3.0068,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1753,-2.5052,-9.72E-06
-7.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3408,-2.0045,-7.77E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5061,-1.5037,-5.83E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6704,-1.0022,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83433,-0.5006,-1.94E-06
7.53E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E-05,1.94E-05,7.53E-11
5.00E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.16E-05,1.29E-05,5.00E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83811,0.50287,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6741,1.0045,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5097,1.5058,5.84E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3443,2.0066,7.78E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1783,2.507,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0141,3.0085,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,3.51,1.36E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6862,4.0117,1.55E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5209,4.5125,1.75E-05
1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3554,5.0132,1.94E-05
1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3554,5.0132,1.94E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5208,4.5125,1.75E-05
1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6859,4.0116,1.55E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8499,3.5099,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0139,3.0084,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1781,2.5068,9.72E-06
7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3442,2.0065,7.78E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5096,1.5058,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.674,1.0044,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83813,0.50288,1.95E-06
8.17E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E-05,2.11E-05,8.17E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83423,-0.50054,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6702,-1.0021,-3.89E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5059,-1.5036,-5.83E-06
-7.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3406,-2.0044,-7.77E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.175,-2.505,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.011,-3.0066,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8472,-3.5083,-1.36E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6837,-4.0102,-1.55E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5183,-4.511,-1.75E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3532,-5.0119,-1.94E-05
-1.94E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3532,-5.0119,-1.94E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5184,-4.511,-1.75E-05
-1.55E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6838,-4.0103,-1.55E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8474,-3.5084,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0112,-3.0067,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1752,-2.5051,-9.72E-06
-7.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3407,-2.0044,-7.77E-06
-5.83E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.506,-1.5036,-5.83E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6703,-1.0022,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83426,-0.50056,-1.94E-06
