8.57E-08,8.92E-08,-7.02E-08,-4.13E-08,8.34E-08,4.95E-08,6.36E-08,9.00E-08,7.87E-08,6.84E-08,4.97E-08,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.70E-07,8.57E-08,3.32E-13
-7.32E-07,-0.000000151,-0.000000151,-0.000000128,-0.000000126,0.00000044,-0.000000202,-0.0000002,-7.38E-08,-0.000000094,-1.42E-07,,3.63E-07,,-1.7565E-07,,-1.76E-07,,,,4.04E-07,,-1.61E-07,,-1.61E-07,,1.28E-06,-7.32E-07,-2.84E-12
-5.60E-09,-0.000000269,-7.91E-08,-0.000000167,-0.000000109,-0.000000628,-7.74E-08,-0.00000011,-7.07E-08,-0.000000146,-1.66E-07,,4.74E-07,,-1.4178E-07,,-1.42E-07,,,,2.45E-07,,-1.32E-08,,-1.32E-08,,8.56E-07,-5.60E-09,-2.56E-14
-1.70E-07,-0.000000277,-1.67E-08,-0.000000124,-0.000000108,-0.00000285,-0.000000188,-0.000000208,-0.000000166,-0.00000017,-4.28E-07,,4.16E-07,,-1.6618E-07,,-1.66E-07,,,,2.42E-07,,-5.82E-08,,-5.82E-08,,5.56E-07,-1.70E-07,-6.59E-13
1.57E-08,-0.000000166,-0.000000266,-0.000000101,-0.000000122,0.00000119,-0.000000163,-9.48E-08,-0.000000114,-0.000000321,-1.42E-08,,7.83E-07,,-4.2777E-07,,-4.28E-07,,,,2.94E-07,,-1.55E-07,,-1.55E-07,,5.18E-07,1.57E-08,6.06E-14
-3.09E-07,-0.000000148,-0.00000026,-0.000000125,-0.000000142,0.000000085,-0.000000168,-9.81E-08,-0.000000131,-0.000000173,-1.47E-07,,2.15E-07,1.91E-07,4.97E-08,9.15E-08,4.97E-08,9.15E-08,,,,,,,,,5.15E-07,-3.09E-07,-1.20E-12
-1.16E-07,-0.000000144,-0.000000151,-0.000000134,-0.00000017,-6.48E-08,-0.000000164,-0.000000219,-0.000000138,0.000000067,-1.23E-07,,5.14E-07,1.69E-07,-1.421E-08,7.70E-08,-1.42E-08,7.70E-08,,,,,,,,,2.65E-07,-1.16E-07,-4.51E-13
-1.20E-07,-0.000000147,-6.73E-08,-0.000000174,-8.48E-08,-0.000000342,-0.000000118,-8.26E-08,-0.000000155,3.06E-08,-1.26E-07,,3.16E-07,1.88E-07,-1.4691E-07,7.74E-08,-1.47E-07,7.74E-08,,,,,,,,,2.08E-07,-1.20E-07,-4.65E-13
-5.80E-08,-0.000000156,-0.000000139,-0.000000143,3.73E-08,0.00000779,-0.000000305,-0.000000159,-0.000000162,1.44E-08,6.72E-07,,3.08E-07,1.93E-07,-1.2338E-07,8.72E-08,-1.23E-07,8.72E-08,,,,,,,,,2.85E-07,-5.80E-08,-2.24E-13
-1.61E-07,-0.000000143,-0.000000173,-0.000000128,-0.000000072,0.000000403,-0.000000156,-8.34E-08,-0.000000134,-0.000000117,-7.64E-08,,2.95E-07,1.95E-07,-1.2601E-07,6.68E-08,-1.26E-07,6.68E-08,,,,,,,,,2.68E-07,-1.61E-07,-6.24E-13
-1.41E-07,-0.000000114,-4.54E-08,-0.000000174,-0.000000109,-4.92E-08,-0.000000203,-0.000000164,-0.000000152,-0.000000206,-1.36E-07,,1.59E-06,2.59E-07,6.7197E-07,1.12E-07,6.72E-07,1.12E-07,,,,,,,,,2.35E-07,-1.41E-07,-5.47E-13
-1.07E-07,-0.000000136,-0.000000144,-0.000000144,-0.000000099,0.00000022,-0.000000245,-0.00000018,-0.000000111,-0.000000196,-1.14E-07,,3.60E-07,3.75E-07,-7.644E-08,-6.60E-08,-7.64E-08,-6.60E-08,,,,,,,,,2.28E-07,-1.07E-07,-4.14E-13
-7.85E-08,-0.000000135,-0.000000188,-0.000000142,-7.68E-08,0.000000166,-1.98E-08,-9.28E-08,-0.00000014,-0.00000016,-8.67E-08,,2.61E-07,5.47E-07,-1.3576E-07,-1.86E-07,-1.36E-07,-1.86E-07,,,,,,,,,2.12E-07,-7.85E-08,-3.04E-13
-2.70E-07,-0.00000014,-8.98E-08,-0.000000119,-0.000000121,9.73E-08,-0.00000018,-0.000000148,-0.00000012,-0.00000027,-1.36E-07,,3.10E-07,1.81E-07,-1.142E-07,8.79E-08,-1.14E-07,8.79E-08,,,,,,,,,4.50E-07,-2.70E-07,-1.05E-12
