voltage_YSR_1_33A	absJ_YSR_1_33A	J_YSR_1_33A	current_YSR_1_33A	time_YSR_1_33A
0.000000E+0	5.048030E-5	5.048030E-5	1.957883E-10	0.000000E+0
5.000000E-2	1.385255E-1	1.385255E-1	5.372725E-7	3.818359E-1
1.000000E-1	2.766594E-1	2.766594E-1	1.073026E-6	9.638672E-1
1.500000E-1	4.147346E-1	4.147346E-1	1.608552E-6	1.151367E+0
2.000000E-1	5.527567E-1	5.527567E-1	2.143872E-6	1.339844E+0
2.500000E-1	6.904333E-1	6.904333E-1	2.677852E-6	1.528320E+0
3.000000E-1	8.287005E-1	8.287005E-1	3.214123E-6	1.715820E+0
3.500000E-1	9.671071E-1	9.671071E-1	3.750934E-6	1.904297E+0
4.000000E-1	1.105659E+0	1.105659E+0	4.288308E-6	2.092773E+0
4.500000E-1	1.243632E+0	1.243632E+0	4.823438E-6	2.280273E+0
5.000000E-1	1.381651E+0	1.381651E+0	5.358746E-6	2.468750E+0
5.000000E-1	1.381503E+0	1.381503E+0	5.358171E-6	2.657227E+0
4.500000E-1	1.243377E+0	1.243377E+0	4.822450E-6	2.844727E+0
4.000000E-1	1.105098E+0	1.105098E+0	4.286131E-6	3.033203E+0
3.500000E-1	9.665628E-1	9.665628E-1	3.748823E-6	3.220703E+0
3.000000E-1	8.284128E-1	8.284128E-1	3.213007E-6	3.409180E+0
2.500000E-1	6.906034E-1	6.906034E-1	2.678512E-6	3.597656E+0
2.000000E-1	5.526197E-1	5.526197E-1	2.143341E-6	3.785156E+0
1.500000E-1	4.147704E-1	4.147704E-1	1.608691E-6	3.973633E+0
1.000000E-1	2.764941E-1	2.764941E-1	1.072385E-6	4.161133E+0
5.000000E-2	1.384336E-1	1.384336E-1	5.369160E-7	4.542969E+0
0.000000E+0	4.977193E-5	4.977193E-5	1.930409E-10	5.148438E+0
-5.000000E-2	1.376359E-1	-1.376359E-1	-5.338223E-7	5.531250E+0
-1.000000E-1	2.758707E-1	-2.758707E-1	-1.069967E-6	6.112305E+0
-1.500000E-1	4.140356E-1	-4.140356E-1	-1.605841E-6	6.300781E+0
-2.000000E-1	5.519512E-1	-5.519512E-1	-2.140748E-6	6.489258E+0
-2.500000E-1	6.898751E-1	-6.898751E-1	-2.675687E-6	6.676758E+0
-3.000000E-1	8.280423E-1	-8.280423E-1	-3.211570E-6	6.865234E+0
-3.500000E-1	9.664179E-1	-9.664179E-1	-3.748261E-6	7.053711E+0
-4.000000E-1	1.104868E+0	-1.104868E+0	-4.285240E-6	7.241211E+0
-4.500000E-1	1.242841E+0	-1.242841E+0	-4.820372E-6	7.429688E+0
-5.000000E-1	1.380466E+0	-1.380466E+0	-5.354151E-6	7.617188E+0
-5.000000E-1	1.380910E+0	-1.380910E+0	-5.355873E-6	7.805664E+0
-4.500000E-1	1.242777E+0	-1.242777E+0	-4.820123E-6	7.994141E+0
-4.000000E-1	1.104394E+0	-1.104394E+0	-4.283401E-6	8.181641E+0
-3.500000E-1	9.659126E-1	-9.659126E-1	-3.746301E-6	8.370117E+0
-3.000000E-1	8.275945E-1	-8.275945E-1	-3.209833E-6	8.558594E+0
-2.500000E-1	6.898287E-1	-6.898287E-1	-2.675507E-6	8.746094E+0
-2.000000E-1	5.520030E-1	-5.520030E-1	-2.140949E-6	8.934570E+0
-1.500000E-1	4.141101E-1	-4.141101E-1	-1.606130E-6	9.122070E+0
