Group,Set,ID,V,AbsJ,J,I,t,R
4,7,E,-1.50E-01,9.57E-06,-9.57E-06,-3.71E-11,1.75E+02,4.04E+09
4,7,E,-2.00E-01,1.07E-05,-1.07E-05,-4.16E-11,1.75E+02,4.81E+09
4,7,E,-2.50E-01,1.18E-05,-1.18E-05,-4.59E-11,1.76E+02,5.45E+09
4,7,E,-3.00E-01,1.30E-05,-1.30E-05,-5.03E-11,1.76E+02,5.97E+09
4,7,E,-3.50E-01,1.40E-05,-1.40E-05,-5.44E-11,1.77E+02,6.43E+09
4,7,E,-4.00E-01,1.47E-05,-1.47E-05,-5.70E-11,1.78E+02,7.02E+09
4,7,E,-4.50E-01,1.55E-05,-1.55E-05,-6.01E-11,1.78E+02,7.49E+09
4,7,E,-5.00E-01,9.51E-06,-9.51E-06,-3.69E-11,1.79E+02,1.36E+10
4,7,E,-5.00E-01,1.55E-05,-1.55E-05,-6.01E-11,1.80E+02,8.32E+09
4,7,E,-4.50E-01,1.22E-05,-1.22E-05,-4.75E-11,1.80E+02,9.48E+09
4,7,E,-4.00E-01,1.36E-05,-1.36E-05,-5.26E-11,1.81E+02,7.60E+09
4,7,E,-3.50E-01,1.26E-05,-1.26E-05,-4.87E-11,1.82E+02,7.19E+09
4,7,E,-3.00E-01,1.07E-05,-1.07E-05,-4.13E-11,1.82E+02,7.26E+09
4,7,E,-2.50E-01,9.25E-06,-9.25E-06,-3.59E-11,1.83E+02,6.97E+09
4,7,E,-2.00E-01,8.02E-06,-8.02E-06,-3.11E-11,1.83E+02,6.43E+09
4,7,E,-1.50E-01,6.84E-06,-6.84E-06,-2.65E-11,1.84E+02,5.66E+09
4,7,E,-1.00E-01,5.64E-06,-5.64E-06,-2.19E-11,1.84E+02,4.57E+09
4,7,E,-5.00E-02,4.47E-06,-4.47E-06,-1.73E-11,1.85E+02,2.89E+09
4,7,E,0.00E+00,3.31E-06,-3.31E-06,-1.28E-11,1.85E+02,0.00E+00
4,7,E,0.00E+00,3.83E-06,-3.83E-06,-1.49E-11,1.86E+02,0.00E+00
4,7,E,5.00E-02,2.40E-06,-2.40E-06,-9.32E-12,1.86E+02,-5.36E+09
4,7,E,1.00E-01,1.16E-06,-1.16E-06,-4.51E-12,1.87E+02,-2.21E+10
4,7,E,1.50E-01,2.17E-08,-2.17E-08,-8.40E-14,1.87E+02,-1.79E+12
4,7,E,2.00E-01,1.11E-06,1.11E-06,4.32E-12,1.88E+02,4.63E+10
4,7,E,2.50E-01,2.21E-06,2.21E-06,8.55E-12,1.88E+02,2.92E+10
4,7,E,3.00E-01,3.32E-06,3.32E-06,1.29E-11,1.89E+02,2.33E+10
4,7,E,3.50E-01,4.41E-06,4.41E-06,1.71E-11,1.89E+02,2.05E+10
4,7,E,4.00E-01,5.50E-06,5.50E-06,2.13E-11,1.90E+02,1.87E+10
4,7,E,4.50E-01,6.62E-06,6.62E-06,2.57E-11,1.90E+02,1.75E+10
4,7,E,5.00E-01,7.70E-06,7.70E-06,2.99E-11,1.91E+02,1.67E+10
4,7,E,5.00E-01,7.15E-06,7.15E-06,2.77E-11,1.92E+02,1.80E+10
4,7,E,4.50E-01,5.22E-06,5.22E-06,2.02E-11,1.92E+02,2.22E+10
4,7,E,4.00E-01,3.64E-06,3.64E-06,1.41E-11,1.93E+02,2.83E+10
4,7,E,3.50E-01,2.29E-06,2.29E-06,8.88E-12,1.93E+02,3.94E+10
4,7,E,3.00E-01,9.94E-07,9.94E-07,3.86E-12,1.94E+02,7.78E+10
4,7,E,2.50E-01,2.37E-07,-2.37E-07,-9.20E-13,1.94E+02,-2.72E+11
4,7,E,2.00E-01,1.43E-06,-1.43E-06,-5.56E-12,1.95E+02,-3.60E+10
4,7,E,1.50E-01,2.59E-06,-2.59E-06,-1.00E-11,1.95E+02,-1.49E+10
4,7,E,1.00E-01,3.69E-06,-3.69E-06,-1.43E-11,1.96E+02,-6.98E+09
4,7,E,5.00E-02,4.85E-06,-4.85E-06,-1.88E-11,1.96E+02,-2.66E+09
4,7,E,0.00E+00,5.93E-06,-5.93E-06,-2.30E-11,1.97E+02,0.00E+00
4,7,E,-5.00E-02,7.06E-06,-7.06E-06,-2.74E-11,1.97E+02,1.83E+09
4,7,E,-1.00E-01,8.13E-06,-8.13E-06,-3.15E-11,1.98E+02,3.17E+09
4,7,E,-1.50E-01,9.20E-06,-9.20E-06,-3.57E-11,1.98E+02,4.21E+09
4,7,E,-2.00E-01,1.03E-05,-1.03E-05,-4.00E-11,1.99E+02,5.00E+09
4,7,E,-2.50E-01,1.13E-05,-1.13E-05,-4.37E-11,1.99E+02,5.73E+09
4,7,E,-3.00E-01,1.25E-05,-1.25E-05,-4.84E-11,2.00E+02,6.20E+09
4,7,E,-3.50E-01,1.35E-05,-1.35E-05,-5.25E-11,2.00E+02,6.67E+09
4,7,E,-4.00E-01,1.44E-05,-1.44E-05,-5.58E-11,2.01E+02,7.17E+09
4,7,E,-4.50E-01,1.51E-05,-1.51E-05,-5.85E-11,2.01E+02,7.69E+09
4,7,E,-5.00E-01,1.57E-05,-1.57E-05,-6.10E-11,2.02E+02,8.20E+09
4,7,E,-5.00E-01,1.55E-05,-1.55E-05,-6.01E-11,2.03E+02,8.32E+09
4,7,E,-4.50E-01,1.12E-05,-1.12E-05,-4.35E-11,2.03E+02,1.03E+10
4,7,E,-4.00E-01,1.30E-05,-1.30E-05,-5.05E-11,2.04E+02,7.92E+09
4,7,E,-3.50E-01,1.16E-05,-1.16E-05,-4.51E-11,2.05E+02,7.76E+09
4,7,E,-3.00E-01,1.02E-05,-1.02E-05,-3.96E-11,2.05E+02,7.58E+09
4,7,E,-2.50E-01,8.89E-06,-8.89E-06,-3.45E-11,2.06E+02,7.25E+09
4,7,E,-2.00E-01,7.68E-06,-7.68E-06,-2.98E-11,2.06E+02,6.71E+09
4,7,E,-1.50E-01,6.48E-06,-6.48E-06,-2.51E-11,2.07E+02,5.97E+09
4,7,E,-1.00E-01,5.33E-06,-5.33E-06,-2.07E-11,2.07E+02,4.84E+09
4,7,E,-5.00E-02,4.18E-06,-4.18E-06,-1.62E-11,2.08E+02,3.08E+09
4,7,E,0.00E+00,3.07E-06,-3.07E-06,-1.19E-11,2.08E+02,0.00E+00
