voltage_Calibrate,absJ_Calibrate,J_Calibrate,current_Calibrate,time_Calibrate,,,,,,,,,Group,Set,ID,B Area,B Length,B Thickness,PR (nu),R Area,R Length,R Location,Contacts,dR/dX,GF,dR/R_0,Strain,,,,,,
0.00E+00,3.92E-04,3.92E-04,1.52E-09,1.72E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-02,6.94E+00,-6.94E+00,-2.69E-05,1.80E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.39E-05,1.82E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.50E-01,2.09E+01,-2.09E+01,-8.09E-05,1.84E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.00E-01,2.78E+01,-2.78E+01,-1.08E-04,1.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.35E-04,1.91E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.00E-01,4.17E+01,-4.17E+01,-1.62E-04,1.93E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,1.95E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,1.97E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,1.99E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,2.01E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,2.03E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,2.05E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,2.07E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,2.08E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.00E-01,4.17E+01,-4.17E+01,-1.62E-04,2.10E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.35E-04,2.12E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.00E-01,2.78E+01,-2.78E+01,-1.08E-04,2.14E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.50E-01,2.09E+01,-2.09E+01,-8.09E-05,2.18E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.39E-05,2.20E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-02,6.94E+00,-6.94E+00,-2.69E-05,2.22E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,3.19E-04,3.19E-04,1.24E-09,2.27E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,3.58E-04,3.58E-04,1.39E-09,2.29E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-02,6.98E+00,6.98E+00,2.71E-05,2.37E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00E-01,1.39E+01,1.39E+01,5.41E-05,2.39E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.50E-01,2.09E+01,2.09E+01,8.10E-05,2.41E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.00E-01,2.78E+01,2.78E+01,1.08E-04,2.46E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.50E-01,3.48E+01,3.48E+01,1.35E-04,2.48E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00E-01,4.17E+01,4.17E+01,1.62E-04,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.50E-01,4.87E+01,4.87E+01,1.89E-04,2.52E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.00E-01,5.56E+01,5.56E+01,2.16E-04,2.54E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.50E-01,2.01E+02,2.01E+02,7.80E-04,2.56E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-01,3.62E+02,3.62E+02,1.40E-03,2.62E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-01,3.70E+02,3.70E+02,1.43E-03,2.63E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.50E-01,2.58E+02,2.58E+02,1.00E-03,2.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.00E-01,5.56E+01,5.56E+01,2.16E-04,2.69E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.50E-01,4.87E+01,4.87E+01,1.89E-04,2.71E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.00E-01,4.17E+01,4.17E+01,1.62E-04,2.73E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.50E-01,3.48E+01,3.48E+01,1.35E-04,2.75E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.00E-01,2.78E+01,2.78E+01,1.08E-04,2.77E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.50E-01,2.09E+01,2.09E+01,8.10E-05,2.80E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00E-01,1.39E+01,1.39E+01,5.40E-05,2.82E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-02,6.98E+00,6.98E+00,2.71E-05,2.84E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,4.28E-04,4.28E-04,1.66E-09,2.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-02,6.94E+00,-6.94E+00,-2.69E-05,2.98E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.39E-05,3.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.50E-01,2.09E+01,-2.09E+01,-8.09E-05,3.01E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.00E-01,2.78E+01,-2.78E+01,-1.08E-04,3.07E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.35E-04,3.09E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.00E-01,4.17E+01,-4.17E+01,-1.62E-04,3.11E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,3.13E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,3.15E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,3.17E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,3.18E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-01,6.98E+01,-6.98E+01,-2.71E-04,3.20E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.50E-01,6.27E+01,-6.27E+01,-2.43E-04,3.22E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.00E-01,5.57E+01,-5.57E+01,-2.16E-04,3.24E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.50E-01,4.87E+01,-4.87E+01,-1.89E-04,3.26E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.00E-01,4.17E+01,-4.17E+01,-1.62E-04,3.28E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.50E-01,3.47E+01,-3.47E+01,-1.35E-04,3.30E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.00E-01,2.78E+01,-2.78E+01,-1.08E-04,3.32E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.50E-01,2.09E+01,-2.09E+01,-8.09E-05,3.35E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.00E-01,1.39E+01,-1.39E+01,-5.39E-05,3.37E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.00E-02,6.94E+00,-6.94E+00,-2.69E-05,3.39E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,3.18E-04,3.18E-04,1.23E-09,3.45E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
