voltage_Calibrate	absJ_Calibrate	J_Calibrate	current_Calibrate	time_Calibrate
-4.500000E-1	6.273970E+1	-6.273970E+1	-2.433365E-4	2.104004E+1
-4.000000E-1	5.571287E+1	-5.571287E+1	-2.160829E-4	2.122852E+1
-3.500000E-1	4.867091E+1	-4.867091E+1	-1.887706E-4	2.141602E+1
-3.000000E-1	4.163491E+1	-4.163491E+1	-1.614814E-4	2.160449E+1
-2.500000E-1	3.467667E+1	-3.467667E+1	-1.344938E-4	2.179297E+1
-2.000000E-1	2.774509E+1	-2.774509E+1	-1.076096E-4	2.198047E+1
-1.500000E-1	2.081905E+1	-2.081905E+1	-8.074689E-5	2.236035E+1
-1.000000E-1	1.387426E+1	-1.387426E+1	-5.381145E-5	2.254883E+1
-5.000000E-2	6.926857E+0	-6.926857E+0	-2.686588E-5	2.273633E+1
0.000000E+0	4.525514E-4	4.525514E-4	1.755225E-9	2.331152E+1
0.000000E+0	3.284079E-4	3.284079E-4	1.273733E-9	2.350098E+1
5.000000E-2	6.968502E+0	6.968502E+0	2.702740E-5	2.426953E+1
1.000000E-1	1.391478E+1	1.391478E+1	5.396859E-5	2.445801E+1
1.500000E-1	2.085876E+1	2.085876E+1	8.090091E-5	2.464648E+1
2.000000E-1	2.778005E+1	2.778005E+1	1.077452E-4	2.521777E+1
2.500000E-1	3.471024E+1	3.471024E+1	1.346240E-4	2.540527E+1
3.000000E-1	4.165587E+1	4.165587E+1	1.615627E-4	2.559375E+1
3.500000E-1	4.860341E+1	4.860341E+1	1.885088E-4	2.578125E+1
4.000000E-1	3.841050E+2	3.841050E+2	1.489755E-3	2.635254E+1
4.500000E-1	4.380092E+2	4.380092E+2	1.698823E-3	2.654102E+1
5.000000E-1	4.901579E+2	4.901579E+2	1.901082E-3	2.672852E+1
5.000000E-1	4.979248E+2	4.979248E+2	1.931206E-3	2.691699E+1
4.500000E-1	4.610093E+2	4.610093E+2	1.788029E-3	2.710547E+1
4.000000E-1	4.220039E+2	4.220039E+2	1.636746E-3	2.729297E+1
3.500000E-1	4.860238E+1	4.860238E+1	1.885048E-4	2.767285E+1
3.000000E-1	4.165443E+1	4.165443E+1	1.615571E-4	2.786133E+1
2.500000E-1	3.470880E+1	3.470880E+1	1.346184E-4	2.804883E+1
2.000000E-1	2.777882E+1	2.777882E+1	1.077404E-4	2.823730E+1
1.500000E-1	2.085761E+1	2.085761E+1	8.089645E-5	2.861719E+1
1.000000E-1	1.391376E+1	1.391376E+1	5.396463E-5	2.880566E+1
5.000000E-2	6.967499E+0	6.967499E+0	2.702351E-5	2.899316E+1
0.000000E+0	5.186905E-4	5.186905E-4	2.011746E-9	2.956836E+1
-5.000000E-2	6.926898E+0	-6.926898E+0	-2.686604E-5	3.033887E+1
-1.000000E-1	1.387392E+1	-1.387392E+1	-5.381012E-5	3.052637E+1
-1.500000E-1	2.081770E+1	-2.081770E+1	-8.074164E-5	3.071484E+1
-2.000000E-1	2.774275E+1	-2.774275E+1	-1.076005E-4	3.128613E+1
-2.500000E-1	3.467373E+1	-3.467373E+1	-1.344824E-4	3.147363E+1
-3.000000E-1	4.163151E+1	-4.163151E+1	-1.614682E-4	3.166211E+1
-3.500000E-1	4.866697E+1	-4.866697E+1	-1.887553E-4	3.184961E+1
-4.000000E-1	5.570877E+1	-5.570877E+1	-2.160670E-4	3.203809E+1
-4.500000E-1	6.273521E+1	-6.273521E+1	-2.433191E-4	3.222656E+1
-5.000000E-1	6.976361E+1	-6.976361E+1	-2.705788E-4	3.241406E+1
-5.000000E-1	6.976361E+1	-6.976361E+1	-2.705788E-4	3.260254E+1
-4.500000E-1	6.273469E+1	-6.273469E+1	-2.433171E-4	3.279102E+1
-4.000000E-1	5.570854E+1	-5.570854E+1	-2.160661E-4	3.297852E+1
-3.500000E-1	4.866692E+1	-4.866692E+1	-1.887551E-4	3.316699E+1
-3.000000E-1	4.163164E+1	-4.163164E+1	-1.614687E-4	3.335449E+1
-2.500000E-1	3.467296E+1	-3.467296E+1	-1.344794E-4	3.354297E+1
-2.000000E-1	2.774190E+1	-2.774190E+1	-1.075972E-4	3.373145E+1
-1.500000E-1	2.081651E+1	-2.081651E+1	-8.073704E-5	3.411133E+1
-1.000000E-1	1.387263E+1	-1.387263E+1	-5.380512E-5	3.429883E+1
-5.000000E-2	6.926398E+0	-6.926398E+0	-2.686410E-5	3.448730E+1
0.000000E+0	4.376166E-4	4.376166E-4	1.697300E-9	3.506250E+1
0.000000E+0	3.460621E-4	3.460621E-4	1.342205E-9	3.525098E+1
5.000000E-2	6.967525E+0	6.967525E+0	2.702361E-5	3.602051E+1
1.000000E-1	1.391349E+1	1.391349E+1	5.396361E-5	3.620801E+1
1.500000E-1	2.085672E+1	2.085672E+1	8.089300E-5	3.639648E+1
2.000000E-1	2.777691E+1	2.777691E+1	1.077330E-4	3.696777E+1
2.500000E-1	3.470669E+1	3.470669E+1	1.346102E-4	3.715527E+1
3.000000E-1	4.165149E+1	4.165149E+1	1.615457E-4	3.734375E+1
3.500000E-1	4.859867E+1	4.859867E+1	1.884904E-4	3.753223E+1
4.000000E-1	4.079652E+2	4.079652E+2	1.582297E-3	3.810352E+1
4.500000E-1	4.620264E+2	4.620264E+2	1.791974E-3	3.829102E+1
5.000000E-1	5.142434E+2	5.142434E+2	1.994498E-3	3.847949E+1
5.000000E-1	5.218229E+2	5.218229E+2	2.023895E-3	3.866699E+1
4.500000E-1	4.845189E+2	4.845189E+2	1.879211E-3	3.885547E+1
4.000000E-1	4.451068E+2	4.451068E+2	1.726351E-3	3.904395E+1
3.500000E-1	4.859717E+1	4.859717E+1	1.884846E-4	3.942383E+1
3.000000E-1	4.164997E+1	4.164997E+1	1.615398E-4	3.961133E+1
2.500000E-1	3.470506E+1	3.470506E+1	1.346039E-4	3.979980E+1
2.000000E-1	2.777539E+1	2.777539E+1	1.077271E-4	3.998730E+1
1.500000E-1	2.085537E+1	2.085537E+1	8.088777E-5	4.036719E+1
1.000000E-1	1.391243E+1	1.391243E+1	5.395951E-5	4.055566E+1
5.000000E-2	6.966805E+0	6.966805E+0	2.702082E-5	4.074414E+1
0.000000E+0	5.278151E-4	5.278151E-4	2.047136E-9	4.131934E+1
-5.000000E-2	6.926576E+0	-6.926576E+0	-2.686479E-5	4.208887E+1
-1.000000E-1	1.387249E+1	-1.387249E+1	-5.380459E-5	4.227637E+1
