1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
8.56E-11,4.48E-11,1.61E-11,2.78E-11,1.82E-11,1.05E-10,2.07E-11,2.62E-11,2.78E-11,4.35E-11,4.16E-11,,1.95E+00,,1.949,,4.74E-11,,,,5.17E+00,,-5.17E+00,,2.45E-11,,1.30E+00,1.30E+00,8.56E-11
5.56E-11,4.61E-11,3.85E-11,2.07E-11,1.81E-11,4.75E-10,3.13E-11,3.47E-11,2.76E-11,3.54E-11,7.83E-11,,1.30E+00,,1.3,,4.16E-11,,,,5.82E+00,,-5.82E+00,,2.42E-11,,6.50E-01,6.50E-01,5.56E-11
5.18E-11,2.77E-11,4.44E-11,1.69E-11,2.03E-11,2.31E-10,2.71E-11,2E-11,2.13E-11,5.35E-11,5.14E-11,,6.51E-01,,0.6505,,7.83E-11,,,,6.14E+00,,-6.14E+00,,2.94E-11,,0.00E+00,0.00E+00,5.18E-11
5.15E-11,2.46E-11,4.82E-11,2.08E-11,2.37E-11,4.39E-11,2.81E-11,2.39E-11,2.18E-11,2.96E-11,3.16E-11,,0,6.48E-01,0,-6.48E-01,2.15E-11,1.91E-11,,,,,,,,,6.47E-01,-6.47E-01,5.15E-11
2.65E-11,2.4E-11,2.52E-11,2.23E-11,2.84E-11,2.15E-11,2.74E-11,3.65E-11,2.3E-11,7.35E-11,3.08E-11,,0.00E+00,1.30E+00,0,-1.30E+00,5.14E-11,1.69E-11,,,,,,,,,1.30E+00,-1.30E+00,2.65E-11
2.08E-11,2.45E-11,2.72E-11,2.89E-11,1.73E-11,5.71E-11,2.45E-11,2.6E-11,2.59E-11,4.24E-11,2.95E-11,,6.48E-01,1.94E+00,-0.6477,-1.94E+00,3.16E-11,1.88E-11,,,,,,,,,1.94E+00,-1.94E+00,2.08E-11
2.85E-11,2.6E-11,2.32E-11,2.38E-11,3.89E-11,1.33E-09,5.08E-11,2.65E-11,2.7E-11,1.94E-11,1.59E-10,,1.30E+00,2.59E+00,-1.3,-2.59E+00,3.08E-11,1.93E-11,,,,,,,,,2.59E+00,-2.59E+00,2.85E-11
2.68E-11,2.39E-11,2.88E-11,2.13E-11,1.2E-11,1.44E-10,2.6E-11,2.44E-11,2.23E-11,3E-11,3.60E-11,,1.94E+00,3.24E+00,-1.94,-3.24E+00,2.95E-11,1.95E-11,,,,,,,,,3.23E+00,-3.23E+00,2.68E-11
2.35E-11,1.9E-11,3.04E-11,2.9E-11,1.82E-11,2.05E-11,3.38E-11,2.73E-11,2.54E-11,3.43E-11,2.61E-11,,2.59E+00,3.89E+00,-2.59,-3.89E+00,1.59E-10,2.59E-11,,,,,,,,,3.88E+00,-3.88E+00,2.35E-11
2.28E-11,2.26E-11,2.39E-11,2.4E-11,1.8E-11,7.67E-11,4.08E-11,3E-11,1.85E-11,3.27E-11,3.10E-11,,3.24E+00,4.53E+00,-3.239,-4.53E+00,3.60E-11,3.75E-11,,,,,,,,,4.53E+00,-4.53E+00,2.28E-11
