1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
1.52E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,1.52E-11
1.43E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,1.43E-11
1.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,1.55E-11
1.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,1.39E-11
1.37E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,1.37E-11
1.18E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,1.18E-11
1.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.39E-11
5.28E-12,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,5.28E-12
1.30E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,1.30E-11
2.18E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.18E-11
2.26E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.26E-11
1.78E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,1.78E-11
1.27E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,1.27E-11
1.22E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,1.22E-11
2.26E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,2.26E-11
3.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,3.07E-11
3.30E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,3.30E-11
2.31E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,2.31E-11
9.23E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,9.23E-12
1.34E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,1.34E-11
2.02E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,2.02E-11
2.05E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,2.05E-11
2.34E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.34E-11
2.08E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,2.08E-11
1.87E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,2.59E+00,1.87E-11
2.10E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.10E-11
1.82E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,1.82E-11
1.81E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.50E-01,6.50E-01,1.81E-11
2.03E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.03E-11
2.37E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,2.37E-11
2.84E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.84E-11
1.73E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,1.73E-11
3.89E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,3.89E-11
1.20E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,1.20E-11
1.82E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,1.82E-11
1.80E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,1.80E-11
2.44E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,2.44E-11
2.02E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,2.02E-11
3.42E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,3.42E-11
5.41E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,5.41E-11
3.66E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,3.66E-11
3.97E-10,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,3.97E-10
1.84E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,1.84E-10
9.42E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,9.42E-11
2.95E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.95E-11
3.82E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,3.82E-11
2.48E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.48E-11
2.01E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.01E-11
1.95E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,1.95E-11
1.98E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.98E-11
1.99E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.99E-11
3.78E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,3.78E-11
2.87E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.87E-11
2.11E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.11E-11
1.32E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,1.32E-11
6.99E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.25E+00,3.25E+00,6.99E-11
4.66E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,4.66E-11
3.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,3.23E-11
2.43E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,2.43E-11
1.67E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.84E+00,5.84E+00,1.67E-11
2.42E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,2.42E-11
6.36E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,6.36E-12
1.15E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,1.15E-11
1.15E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,1.15E-11
1.36E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,1.36E-11
1.38E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,1.38E-11
1.70E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,1.70E-11
1.76E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,1.76E-11
1.03E-10,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,1.03E-10
1.05E-10,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,1.05E-10
4.75E-10,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,4.75E-10
2.31E-10,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.31E-10
4.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,4.39E-11
2.15E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.15E-11
5.71E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,5.71E-11
1.33E-09,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,1.33E-09
1.44E-10,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,1.44E-10
2.05E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,2.05E-11
7.67E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,7.67E-11
5.24E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,5.24E-11
4.26E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,4.26E-11
1.97E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,1.97E-11
2.05E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.47E+00,-6.47E+00,2.05E-11
2.11E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,2.11E-11
1.69E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,1.69E-11
3.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,3.23E-11
2.34E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,-3.89E+00,2.34E-11
1.63E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,1.63E-11
2.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,2.55E-11
1.93E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,1.93E-11
2.59E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.59E-11
2.10E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,2.10E-11
2.73E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.73E-11
1.86E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.86E-11
3.13E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,3.13E-11
2.24E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.24E-11
2.78E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.78E-11
2.49E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,2.49E-11
2.00E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.25E+00,3.25E+00,2.00E-11
2.30E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.30E-11
3.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,3.23E-11
3.04E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,3.04E-11
1.68E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.84E+00,5.84E+00,1.68E-11
2.76E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,2.76E-11
1.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,1.55E-11
2.50E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.84E+00,5.84E+00,2.50E-11
3.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,3.07E-11
2.01E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,2.01E-11
2.75E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.75E-11
3.88E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,3.88E-11
3.73E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,3.73E-11
3.36E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,3.36E-11
2.07E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.07E-11
3.13E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,3.13E-11
2.71E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.71E-11
2.81E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,2.81E-11
2.74E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.74E-11
2.45E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.45E-11
5.08E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,5.08E-11
2.60E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.60E-11
3.38E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,3.38E-11
4.08E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,4.08E-11
3.42E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,3.42E-11
3.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,3.35E-11
5.40E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,5.40E-11
2.81E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,2.81E-11
1.32E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,1.32E-11
2.67E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,2.67E-11
2.83E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,2.83E-11
1.60E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,-3.89E+00,1.60E-11
2.10E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.10E-11
2.57E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,2.57E-11
2.08E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.08E-11
2.20E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.20E-11
9.77E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,9.77E-12
1.96E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.96E-11
1.78E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.78E-11
2.01E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,2.01E-11
2.13E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.13E-11
1.40E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,1.40E-11
2.17E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,2.17E-11
1.51E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.25E+00,3.25E+00,1.51E-11
2.68E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.68E-11
2.29E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,2.29E-11
2.98E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,2.98E-11
2.09E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.84E+00,5.84E+00,2.09E-11
1.62E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,1.62E-11
8.97E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,8.97E-12
2.75E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,2.75E-11
2.15E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,2.15E-11
2.22E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,2.22E-11
2.46E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.46E-11
1.93E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,1.93E-11
2.28E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,2.28E-11
3.34E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,3.34E-11
2.62E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.62E-11
3.47E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,3.47E-11
2.00E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.00E-11
2.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,2.39E-11
3.65E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,3.65E-11
2.60E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.60E-11
2.65E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,2.65E-11
2.44E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.44E-11
2.73E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,2.73E-11
3.00E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,3.00E-11
2.75E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,2.75E-11
2.46E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,2.46E-11
4.27E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,4.27E-11
2.34E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,2.34E-11
1.90E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,1.90E-11
2.48E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,2.48E-11
1.27E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,1.27E-11
1.31E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,-3.89E+00,1.31E-11
1.41E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,1.41E-11
1.22E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,1.22E-11
1.47E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,-1.95E+00,1.47E-11
1.42E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,1.42E-11
1.10E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,1.10E-11
1.31E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.31E-11
4.42E-12,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,4.42E-12
4.69E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,4.69E-11
9.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,9.35E-11
1.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,1.39E-11
2.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,2.23E-11
7.40E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,7.40E-11
2.26E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.26E-11
3.29E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,3.29E-11
4.20E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,4.20E-11
3.68E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.84E+00,5.84E+00,3.68E-11
1.37E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,1.37E-11
9.06E-12,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,9.06E-12
3.24E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,3.24E-11
3.16E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,3.16E-11
4.73E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,4.73E-11
2.89E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,2.89E-11
3.08E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,3.08E-11
2.40E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,2.40E-11
2.72E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,2.72E-11
2.78E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,2.78E-11
2.76E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,2.76E-11
2.13E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.13E-11
2.18E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,2.18E-11
2.30E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,2.30E-11
2.59E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,2.59E-11
2.70E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,2.70E-11
2.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.23E-11
2.54E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,2.54E-11
1.85E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,1.85E-11
2.33E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,2.33E-11
2.00E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,2.00E-11
3.11E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,3.11E-11
1.18E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,1.18E-11
1.01E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,1.01E-11
1.17E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,1.17E-11
1.82E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,1.82E-11
1.09E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,-3.89E+00,1.09E-11
2.90E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,2.90E-11
1.96E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,1.96E-11
1.85E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,-1.95E+00,1.85E-11
1.46E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,1.46E-11
1.20E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,1.20E-11
2.03E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,2.03E-11
1.62E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,1.62E-11
1.82E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,1.82E-11
1.29E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,1.29E-11
1.39E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,1.39E-11
1.96E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,1.96E-11
2.87E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.25E+00,3.25E+00,2.87E-11
1.22E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,1.22E-11
3.15E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,3.15E-11
3.06E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,3.06E-11
3.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.84E+00,5.84E+00,3.55E-11
1.13E-10,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,1.13E-10
4.57E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E+00,6.48E+00,4.57E-11
6.51E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.83E+00,5.83E+00,6.51E-11
6.84E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.19E+00,5.19E+00,6.84E-11
8.32E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.54E+00,4.54E+00,8.32E-11
7.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.89E+00,3.89E+00,7.23E-11
3.51E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,3.24E+00,3.51E-11
4.48E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.60E+00,2.60E+00,4.48E-11
5.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.95E+00,1.95E+00,5.55E-11
4.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,1.30E+00,4.35E-11
3.54E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.51E-01,6.51E-01,3.54E-11
5.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,5.35E-11
2.96E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.48E-01,-6.48E-01,2.96E-11
7.35E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+00,-1.30E+00,7.35E-11
4.24E-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.94E+00,-1.94E+00,4.24E-11
1.94E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.59E+00,-2.59E+00,1.94E-11
3.00E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.24E+00,-3.24E+00,3.00E-11
3.43E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.88E+00,-3.88E+00,3.43E-11
3.27E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,3.27E-11
2.67E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,2.67E-11
4.49E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,4.49E-11
2.01E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.46E+00,-6.46E+00,2.01E-11
1.62E-11,,,,,,,,,,,,,,,,,,,,,,,,,,6.47E+00,-6.47E+00,1.62E-11
3.79E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.82E+00,-5.82E+00,3.79E-11
2.55E-11,,,,,,,,,,,,,,,,,,,,,,,,,,5.18E+00,-5.18E+00,2.55E-11
1.58E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.53E+00,-4.53E+00,1.58E-11
