9.95E-11,9.76E-11,7.23E-11,6.93E-11,1.00E-10,8.91E-11,6.49E-11,1.22E-10,9.57E-11,9.05E-11,9.01E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,4.27E-05,2.56E-05,9.95E-11
1.07E-06,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,0.00000107,1.07E-06,,9.19E-01,,0.551455,,2.14E-06,,,,4.12E+00,,-2.47E+00,,-9.57E-06,,0.46021,0.27613,1.07E-06
7.61E-11,8.83E-11,9.89E-11,1.02E-10,8.52E-11,1.03E-10,8.62E-11,1.24E-10,7.39E-11,1.04E-10,9.42E-11,,4.60E-01,,0.276042,,1.07E-06,,,,4.35E+00,,-2.61E+00,,-1.01E-05,,3.28E-05,1.96E-05,7.61E-11
-1.06E-06,-0.00000107,-0.00000106,-0.00000106,-0.00000106,-0.00000106,-0.00000107,-0.00000106,-0.00000107,-0.00000106,-1.06E-06,,3.87E-05,4.58E-01,0.00002319,-2.75E-01,9.01E-11,-1.06E-06,,,,,,,,,0.4578,-0.27468,-1.06E-06
-2.13E-06,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-2.13E-06,,4.10E-05,9.16E-01,0.0000243,-5.50E-01,9.42E-11,-2.13E-06,,,,,,,,,0.9164,-0.54984,-2.13E-06
-3.20E-06,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-3.20E-06,,4.58E-01,1.37E+00,-0.274643,-8.25E-01,-1.06E-06,-3.20E-06,,,,,,,,,1.3746,-0.82478,-3.20E-06
-4.26E-06,-0.00000427,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-4.26E-06,,9.16E-01,1.83E+00,-0.549757,-1.10E+00,-2.13E-06,-4.26E-06,,,,,,,,,1.8322,-1.0993,-4.26E-06
-5.33E-06,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000532,-0.00000533,-0.00000533,-5.33E-06,,1.37E+00,2.29E+00,-0.824664,-1.37E+00,-3.20E-06,-5.33E-06,,,,,,,,,2.2895,-1.3737,-5.33E-06
-6.39E-06,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-6.39E-06,,1.83E+00,2.75E+00,-1.09916,-1.65E+00,-4.26E-06,-6.39E-06,,,,,,,,,2.7476,-1.6486,-6.39E-06
-7.46E-06,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-7.46E-06,,2.29E+00,3.21E+00,-1.37347,-1.92E+00,-5.33E-06,-7.46E-06,,,,,,,,,3.2056,-1.9234,-7.46E-06
-8.52E-06,-0.00000854,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-8.52E-06,,2.75E+00,3.66E+00,-1.64828,-2.20E+00,-6.39E-06,-8.52E-06,,,,,,,,,3.664,-2.1984,-8.52E-06
-9.60E-06,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-9.60E-06,,3.21E+00,4.12E+00,-1.92304,-2.47E+00,-7.46E-06,-9.60E-06,,,,,,,,,4.1213,-2.4728,-9.60E-06
-1.06E-05,-0.0000107,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-1.06E-05,,3.66E+00,4.58E+00,-2.19801,-2.75E+00,-8.52E-06,-1.06E-05,,,,,,,,,4.5786,-2.7472,-1.06E-05
-1.06E-05,-0.0000107,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-0.0000106,-1.06E-05,,4.12E+00,4.58E+00,-2.47233,-2.75E+00,-9.60E-06,-1.06E-05,,,,,,,,,4.5786,-2.7471,-1.06E-05
-9.60E-06,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-0.0000096,-9.60E-06,,4.58E+00,,-2.74659,,-1.06E-05,,,,,,,,,,4.1213,-2.4728,-9.60E-06
-8.52E-06,-0.00000854,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.00000852,-0.0000085,-8.52E-06,,4.58E+00,,-2.74657,,-1.06E-05,,,,,,,,,,3.6641,-2.1985,-8.52E-06
-7.46E-06,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-0.00000746,-7.46E-06,,4.12E+00,,-2.47225,,-9.60E-06,,,,,,,,,,3.2057,-1.9234,-7.46E-06
-6.39E-06,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-0.00000639,-6.39E-06,,3.66E+00,,-2.19806,,-8.52E-06,,,,,,,,,,2.7475,-1.6485,-6.39E-06
-5.33E-06,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-0.00000533,-5.33E-06,,3.21E+00,,-1.92306,,-7.46E-06,,,,,,,,,,2.2894,-1.3737,-5.33E-06
-4.26E-06,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-0.00000426,-4.26E-06,,2.75E+00,,-1.64825,,-6.39E-06,,,,,,,,,,1.8322,-1.0993,-4.26E-06
-3.20E-06,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-0.0000032,-3.20E-06,,2.29E+00,,-1.37351,,-5.33E-06,,,,,,,,,,1.3747,-0.82482,-3.20E-06
-2.13E-06,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-0.00000213,-2.13E-06,,1.83E+00,,-1.0992,,-4.26E-06,,,,,,,,,,0.91647,-0.54988,-2.13E-06
-1.06E-06,-0.00000107,-0.00000106,-0.00000106,-0.00000106,-0.00000106,-0.00000106,-0.00000106,-0.00000106,-0.00000106,-1.06E-06,,1.37E+00,,-0.824696,,-3.20E-06,,,,,,,,,,0.45781,-0.27469,-1.06E-06
9.76E-11,,,,,,,,,,,,9.16E-01,,-0.549772,,-2.13E-06,,,,,,,,,,4.19E-05,2.51E-05,9.76E-11
1.01E-10,,,,,,,,,,,,4.58E-01,,-0.27465,,-1.06E-06,,,,,,,,,,4.41E-05,2.60E-05,1.01E-10
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46016,0.2761,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91929,0.55157,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3784,0.82706,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8375,1.1025,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2965,1.3779,5.34E-06
6.42E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7566,1.6539,6.42E-06
7.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2172,1.9303,7.49E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6778,2.2067,8.56E-06
9.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1384,2.483,9.64E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5992,2.7595,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5993,2.7596,1.07E-05
9.64E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1384,2.483,9.64E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6778,2.2067,8.56E-06
7.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2174,1.9304,7.49E-06
6.42E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7569,1.6541,6.42E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2967,1.378,5.34E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8376,1.1026,4.28E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3787,0.82722,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91942,0.55165,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46022,0.27613,1.07E-06
8.83E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.79E-05,2.28E-05,8.83E-11
-1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45796,-0.27478,-1.07E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91669,-0.55002,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3752,-0.8251,-3.20E-06
-4.27E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8329,-1.0997,-4.27E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2902,-1.3741,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7484,-1.649,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2066,-1.924,-7.46E-06
-8.54E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.665,-2.199,-8.54E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1221,-2.4733,-9.60E-06
-1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5794,-2.7476,-1.07E-05
-1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5794,-2.7477,-1.07E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1221,-2.4732,-9.60E-06
-8.54E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6649,-2.1989,-8.54E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2065,-1.9239,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7482,-1.6489,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2901,-1.3741,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8328,-1.0997,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3751,-0.82504,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91674,-0.55004,-2.13E-06
-1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45801,-0.2748,-1.07E-06
7.23E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.11E-05,1.87E-05,7.23E-11
1.38E-10,,,,,,,,,,,,,,,,,,,,,,,,,,5.96E-05,3.57E-05,1.38E-10
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46008,0.27605,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91919,0.55152,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3784,0.82702,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8371,1.1023,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.296,1.3776,5.34E-06
6.42E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7562,1.6537,6.42E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2165,1.9299,7.48E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6773,2.2064,8.56E-06
9.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1378,2.4827,9.62E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5982,2.7589,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5982,2.7589,1.07E-05
9.62E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1376,2.4825,9.62E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.677,2.2062,8.56E-06
7.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2169,1.9301,7.49E-06
6.42E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7563,1.6538,6.42E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2959,1.3776,5.34E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8371,1.1023,4.28E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3783,0.82698,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91913,0.55148,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46011,0.27607,1.07E-06
9.89E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.32E-05,2.55E-05,9.89E-11
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.4578,-0.27468,-1.06E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91645,-0.54987,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3747,-0.8248,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8323,-1.0994,-4.26E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2896,-1.3738,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7477,-1.6486,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2056,-1.9233,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6638,-2.1983,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1209,-2.4726,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5779,-2.7468,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5779,-2.7467,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1209,-2.4725,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6639,-2.1983,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2053,-1.9232,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7472,-1.6483,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2893,-1.3736,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.832,-1.0992,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3746,-0.82478,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.9164,-0.54984,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45776,-0.27466,-1.06E-06
6.93E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.97E-05,1.78E-05,6.93E-11
8.84E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.79E-05,2.28E-05,8.84E-11
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.4601,0.27606,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91915,0.55149,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3782,0.82694,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8372,1.1023,4.28E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2961,1.3777,5.34E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7561,1.6537,6.41E-06
7.49E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2165,1.9299,7.49E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6769,2.2062,8.56E-06
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1374,2.4825,9.60E-06
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.598,2.7588,1.07E-05
1.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5979,2.7587,1.07E-05
9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1373,2.4824,9.60E-06
8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6768,2.2061,8.56E-06
7.48E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2163,1.9298,7.48E-06
6.41E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7557,1.6534,6.41E-06
5.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.2958,1.3775,5.34E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8369,1.1021,4.28E-06
