4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
3.99E-12,-9.73E-13,-6.7E-13,-6.21E-13,-6.52E-13,-6.01E-13,7.49E-13,-6.05E-13,-1.34E-13,-4.03E-13,8.00E-15,,7.32E-07,,1.1532E-07,,4.48E-13,,,,5.27E-07,,-3.11E-07,,-1.21E-12,,2.29E-06,1.03E-06,3.99E-12
-6.40E-13,-8.44E-13,-7.08E-13,-7.5E-13,-6.62E-13,-6.71E-13,1.99E-13,-6.87E-13,-4.35E-13,-8.25E-13,-6.02E-13,,5.38E-07,,2.14E-09,,8.00E-15,,,,3.76E-07,,-2.05E-07,,-7.95E-13,,2.97E-07,-1.65E-07,-6.40E-13
-3.17E-13,-8.44E-13,-7.85E-13,-6.98E-13,-7.71E-13,-7.05E-13,-6.44E-13,-7.2E-13,-5.98E-13,-1.12E-12,-7.20E-13,,3.33E-07,,-1.5532E-07,,-6.02E-13,,,,5.10E-07,,-3.04E-07,,-1.18E-12,,4.54E-07,-8.18E-08,-3.17E-13
-2.60E-12,-6.84E-13,-8.73E-13,-8.33E-13,-7.87E-13,-7.9E-13,-6.88E-13,-8.41E-13,-6.58E-13,-7.63E-13,-9.52E-13,,3.44E-07,,-1.8568E-07,,-7.20E-13,,,,5.61E-07,,-3.36E-07,,-1.30E-12,,1.12E-06,-6.71E-07,-2.60E-12
-3.29E-12,-8.98E-13,-9.3E-13,-8.29E-13,-8.35E-13,-8.59E-13,-8.27E-13,-8.96E-13,-1.16E-12,-6.52E-13,-1.12E-12,,1.44E-06,1.57E-06,-5.8799E-07,3.68E-07,-2.28E-12,1.44E-12,,,,,,,,,1.42E-06,-8.50E-07,-3.29E-12
-1.61E-12,-9.03E-13,-9.63E-13,-9.17E-13,-9.67E-13,-8.63E-13,-8.47E-13,-1.05E-12,-8.51E-13,-6.47E-13,-9.62E-13,,4.16E-07,3.12E-06,-2.455E-07,1.34E-06,-9.52E-13,5.21E-12,,,,,,,,,6.92E-07,-4.15E-07,-1.61E-12
-1.50E-12,-1.17E-12,-1.04E-12,-9.69E-13,-9.28E-13,-9.22E-13,-1.03E-12,-1.25E-12,-9.26E-13,-4.99E-13,-1.02E-12,,4.81E-07,2.27E-06,-2.884E-07,1.27E-06,-1.12E-12,4.93E-12,,,,,,,,,6.46E-07,-3.87E-07,-1.50E-12
-1.49E-12,-1.22E-12,-1.05E-12,-1.02E-12,-1E-12,-9.75E-13,-1.01E-12,-7.8E-13,-8.95E-13,-6.55E-13,-1.01E-12,,4.27E-07,2.42E-07,-2.475E-07,-3.37E-08,-9.62E-13,-1.31E-13,,,,,,,,,6.40E-07,-3.84E-07,-1.49E-12
-1.52E-12,-1.22E-12,-1.12E-12,-1.18E-12,-1.03E-12,-9.86E-13,-1.03E-12,-1.07E-12,-1.16E-12,-7.54E-13,-1.11E-12,,4.62E-07,3.01E-06,-2.639E-07,1.68E-06,-1.02E-12,6.52E-12,,,,,,,,,6.54E-07,-3.92E-07,-1.52E-12
-1.48E-12,-1.47E-12,-1.14E-12,-1.14E-12,-1.08E-12,-1.05E-12,-1.01E-12,-1.06E-12,-1.25E-12,-8.44E-13,-1.15E-12,,4.41E-07,2.87E-06,-2.604E-07,1.65E-06,-1.01E-12,6.41E-12,,,,,,,,,6.36E-07,-3.81E-07,-1.48E-12
