Voltage,Abs_J (Current Density),J (Current Density),Current,Time
5.00E-02,6.50E-01,6.50E-01,2.52E-06,2.61E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,2.63E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,2.64E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,2.66E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,2.72E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,2.74E+01
3.50E-01,4.53E+00,4.53E+00,1.76E-05,2.76E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,2.78E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,2.80E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,2.81E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,2.83E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,2.85E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,2.87E+01
3.50E-01,4.53E+00,4.53E+00,1.76E-05,2.89E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,2.91E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,2.93E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,2.95E+01
1.50E-01,1.94E+00,1.94E+00,7.54E-06,2.98E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,3.00E+01
5.00E-02,6.49E-01,6.49E-01,2.52E-06,3.02E+01
0.00E+00,4.00E-05,4.00E-05,1.55E-10,3.08E+01
-5.00E-02,6.46E-01,-6.46E-01,-2.51E-06,3.16E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,3.18E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.52E-06,3.20E+01
-2.00E-01,2.58E+00,-2.58E+00,-1.00E-05,3.22E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,3.27E+01
-3.00E-01,3.87E+00,-3.87E+00,-1.50E-05,3.29E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,3.31E+01
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,3.33E+01
-4.50E-01,5.80E+00,-5.80E+00,-2.25E-05,3.35E+01
-5.00E-01,6.44E+00,-6.44E+00,-2.50E-05,3.37E+01
-5.00E-01,6.44E+00,-6.44E+00,-2.50E-05,3.39E+01
-4.50E-01,5.80E+00,-5.80E+00,-2.25E-05,3.41E+01
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,3.43E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,3.44E+01
-3.00E-01,3.87E+00,-3.87E+00,-1.50E-05,3.46E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,3.48E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,3.50E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,3.54E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,3.56E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,3.58E+01
0.00E+00,4.71E-06,4.71E-06,1.83E-11,3.71E+01
0.00E+00,6.73E-06,6.73E-06,2.61E-11,3.76E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,3.84E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,3.86E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,3.87E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,3.89E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,3.95E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,3.97E+01
3.50E-01,4.53E+00,4.53E+00,1.76E-05,3.99E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,4.01E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,4.03E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,4.04E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,4.06E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,4.08E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,4.10E+01
3.50E-01,4.53E+00,4.53E+00,1.76E-05,4.12E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,4.14E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,4.16E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,4.18E+01
1.50E-01,1.95E+00,1.95E+00,7.54E-06,4.21E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,4.23E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,4.25E+01
0.00E+00,3.42E-05,3.42E-05,1.33E-10,4.31E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,4.39E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,4.41E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,4.43E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,4.45E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,4.50E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,4.52E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,4.54E+01
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,4.56E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,4.58E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,4.60E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,4.62E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,4.64E+01
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,4.65E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,4.67E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,4.69E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,4.71E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,4.73E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,4.77E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,4.79E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,4.81E+01
0.00E+00,3.80E-05,3.80E-05,1.47E-10,4.87E+01
0.00E+00,2.71E-05,2.71E-05,1.05E-10,4.89E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,4.96E+01
1.00E-01,1.30E+00,1.30E+00,5.04E-06,4.98E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,5.00E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,5.02E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,5.08E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,5.10E+01
3.50E-01,4.54E+00,4.54E+00,1.76E-05,5.11E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,5.13E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,5.15E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,5.17E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,5.19E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,5.21E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,5.23E+01
3.50E-01,4.53E+00,4.53E+00,1.76E-05,5.25E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,5.26E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,5.28E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,5.30E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,5.34E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,5.36E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,5.38E+01
0.00E+00,1.14E-05,1.14E-05,4.41E-11,5.51E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,5.59E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,5.61E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,5.62E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,5.64E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,5.70E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,5.72E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,5.74E+01
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,5.76E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,5.78E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,5.79E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,5.81E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,5.83E+01
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,5.85E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,5.87E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,5.89E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,5.91E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,5.93E+01
