Voltage,Abs_J (Current Density),J (Current Density),Current,Time
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,1.07E+02
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,1.07E+02
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,1.08E+02
-1.00E-01,1.30E+00,-1.30E+00,-5.02E-06,1.08E+02
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,1.08E+02
0.00E+00,3.64E-05,3.64E-05,1.41E-10,1.09E+02
0.00E+00,2.93E-05,2.93E-05,1.14E-10,1.09E+02
5.00E-02,6.50E-01,6.50E-01,2.52E-06,1.10E+02
1.00E-01,1.30E+00,1.30E+00,5.04E-06,1.10E+02
1.50E-01,1.95E+00,1.95E+00,7.55E-06,1.10E+02
2.00E-01,2.60E+00,2.60E+00,1.01E-05,1.10E+02
2.50E-01,3.24E+00,3.24E+00,1.26E-05,1.11E+02
3.00E-01,3.89E+00,3.89E+00,1.51E-05,1.11E+02
3.50E-01,4.54E+00,4.54E+00,1.76E-05,1.11E+02
4.00E-01,5.19E+00,5.19E+00,2.01E-05,1.11E+02
4.50E-01,5.83E+00,5.83E+00,2.26E-05,1.12E+02
5.00E-01,6.48E+00,6.48E+00,2.51E-05,1.12E+02
5.00E-01,6.48E+00,6.48E+00,2.51E-05,1.12E+02
4.50E-01,5.83E+00,5.83E+00,2.26E-05,1.12E+02
4.00E-01,5.19E+00,5.19E+00,2.01E-05,1.12E+02
3.50E-01,4.54E+00,4.54E+00,1.76E-05,1.13E+02
3.00E-01,3.89E+00,3.89E+00,1.51E-05,1.13E+02
2.50E-01,3.24E+00,3.24E+00,1.26E-05,1.13E+02
2.00E-01,2.59E+00,2.59E+00,1.01E-05,1.13E+02
1.50E-01,1.95E+00,1.95E+00,7.55E-06,1.14E+02
1.00E-01,1.30E+00,1.30E+00,5.04E-06,1.14E+02
5.00E-02,6.50E-01,6.50E-01,2.52E-06,1.14E+02
0.00E+00,1.02E-05,1.02E-05,3.97E-11,1.15E+02
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,1.16E+02
-1.00E-01,1.30E+00,-1.30E+00,-5.02E-06,1.16E+02
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,1.16E+02
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,1.17E+02
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,1.17E+02
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,1.17E+02
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,1.18E+02
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,1.18E+02
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,1.18E+02
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,1.18E+02
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,1.18E+02
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,1.18E+02
-4.00E-01,5.17E+00,-5.17E+00,-2.00E-05,1.19E+02
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,1.19E+02
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,1.19E+02
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,1.19E+02
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,1.19E+02
-1.50E-01,1.94E+00,-1.94E+00,-7.54E-06,1.20E+02
-1.00E-01,1.30E+00,-1.30E+00,-5.02E-06,1.20E+02
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,1.20E+02
0.00E+00,8.55E-06,8.55E-06,3.31E-11,1.21E+02
0.00E+00,4.18E-05,4.18E-05,1.62E-10,0.00E+00
5.00E-02,6.46E-01,6.46E-01,2.51E-06,7.76E-01
1.00E-01,1.29E+00,1.29E+00,5.00E-06,9.64E-01
1.50E-01,1.93E+00,1.93E+00,7.50E-06,1.15E+00
2.00E-01,2.58E+00,2.58E+00,1.00E-05,1.34E+00
2.50E-01,3.22E+00,3.22E+00,1.25E-05,1.92E+00
3.00E-01,3.86E+00,3.86E+00,1.50E-05,2.10E+00
3.50E-01,4.51E+00,4.51E+00,1.75E-05,2.29E+00
4.00E-01,5.15E+00,5.15E+00,2.00E-05,2.48E+00
4.50E-01,5.79E+00,5.79E+00,2.25E-05,2.67E+00
5.00E-01,6.43E+00,6.43E+00,2.50E-05,2.86E+00
5.00E-01,6.43E+00,6.43E+00,2.50E-05,3.04E+00
4.50E-01,5.79E+00,5.79E+00,2.25E-05,3.23E+00
4.00E-01,5.15E+00,5.15E+00,2.00E-05,3.42E+00
3.50E-01,4.51E+00,4.51E+00,1.75E-05,3.61E+00
3.00E-01,3.86E+00,3.86E+00,1.50E-05,3.80E+00
2.50E-01,3.22E+00,3.22E+00,1.25E-05,3.99E+00
2.00E-01,2.58E+00,2.58E+00,9.99E-06,4.37E+00
1.50E-01,1.93E+00,1.93E+00,7.50E-06,4.55E+00
1.00E-01,1.29E+00,1.29E+00,5.00E-06,4.74E+00
5.00E-02,6.46E-01,6.46E-01,2.50E-06,4.93E+00
0.00E+00,4.06E-05,4.06E-05,1.57E-10,5.54E+00
-5.00E-02,6.43E-01,-6.43E-01,-2.49E-06,6.31E+00
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,6.50E+00
-1.50E-01,1.93E+00,-1.93E+00,-7.48E-06,6.69E+00
-2.00E-01,2.57E+00,-2.57E+00,-9.97E-06,6.88E+00
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,7.45E+00
-3.00E-01,3.85E+00,-3.85E+00,-1.49E-05,7.64E+00
-3.50E-01,4.49E+00,-4.49E+00,-1.74E-05,7.83E+00
-4.00E-01,5.13E+00,-5.13E+00,-1.99E-05,8.02E+00
-4.50E-01,5.77E+00,-5.77E+00,-2.24E-05,8.21E+00
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,8.39E+00
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,8.58E+00
-4.50E-01,5.77E+00,-5.77E+00,-2.24E-05,8.77E+00
-4.00E-01,5.13E+00,-5.13E+00,-1.99E-05,8.96E+00
-3.50E-01,4.49E+00,-4.49E+00,-1.74E-05,9.15E+00
-3.00E-01,3.85E+00,-3.85E+00,-1.49E-05,9.33E+00
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,9.52E+00
-2.00E-01,2.57E+00,-2.57E+00,-9.97E-06,9.90E+00
-1.50E-01,1.93E+00,-1.93E+00,-7.48E-06,1.01E+01
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,1.03E+01
-5.00E-02,6.43E-01,-6.43E-01,-2.49E-06,1.05E+01
0.00E+00,4.75E-06,4.75E-06,1.84E-11,1.18E+01
0.00E+00,6.66E-06,6.66E-06,2.58E-11,1.23E+01
5.00E-02,6.46E-01,6.46E-01,2.51E-06,1.31E+01
1.00E-01,1.29E+00,1.29E+00,5.00E-06,1.33E+01
1.50E-01,1.93E+00,1.93E+00,7.50E-06,1.34E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,1.36E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,1.42E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,1.44E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,1.46E+01
4.00E-01,5.15E+00,5.15E+00,2.00E-05,1.48E+01
4.50E-01,5.79E+00,5.79E+00,2.25E-05,1.50E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,1.52E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,1.53E+01
4.50E-01,5.79E+00,5.79E+00,2.25E-05,1.55E+01
4.00E-01,5.15E+00,5.15E+00,2.00E-05,1.57E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,1.59E+01
3.00E-01,3.86E+00,3.86E+00,1.50E-05,1.61E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,1.63E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,1.67E+01
1.50E-01,1.93E+00,1.93E+00,7.50E-06,1.69E+01
1.00E-01,1.29E+00,1.29E+00,5.00E-06,1.70E+01
5.00E-02,6.46E-01,6.46E-01,2.50E-06,1.72E+01
0.00E+00,3.64E-05,3.64E-05,1.41E-10,1.78E+01
-5.00E-02,6.43E-01,-6.43E-01,-2.49E-06,1.86E+01
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,1.88E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.48E-06,1.90E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.97E-06,1.92E+01
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,1.97E+01
-3.00E-01,3.85E+00,-3.85E+00,-1.49E-05,1.99E+01
-3.50E-01,4.49E+00,-4.49E+00,-1.74E-05,2.01E+01
-4.00E-01,5.13E+00,-5.13E+00,-1.99E-05,2.03E+01
-4.50E-01,5.77E+00,-5.77E+00,-2.24E-05,2.05E+01
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,2.07E+01
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,2.09E+01
-4.50E-01,5.77E+00,-5.77E+00,-2.24E-05,2.11E+01
-4.00E-01,5.13E+00,-5.13E+00,-1.99E-05,2.13E+01
-3.50E-01,4.49E+00,-4.49E+00,-1.74E-05,2.14E+01
-3.00E-01,3.85E+00,-3.85E+00,-1.49E-05,2.16E+01
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,2.18E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,2.22E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,2.24E+01
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,2.26E+01
-5.00E-02,6.43E-01,-6.43E-01,-2.49E-06,2.28E+01
0.00E+00,3.94E-05,3.94E-05,1.53E-10,2.34E+01
0.00E+00,6.77E-06,6.77E-06,2.63E-11,2.43E+01
5.00E-02,6.46E-01,6.46E-01,2.51E-06,2.50E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,2.52E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,2.54E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,2.56E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,2.62E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,2.64E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,2.65E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,2.67E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,2.69E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,2.71E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,2.73E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,2.75E+01
4.00E-01,5.15E+00,5.15E+00,2.00E-05,2.77E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,2.79E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,2.81E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,2.82E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,2.84E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,2.88E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,2.90E+01
5.00E-02,6.46E-01,6.46E-01,2.51E-06,2.92E+01
0.00E+00,1.08E-05,1.08E-05,4.18E-11,3.05E+01
-5.00E-02,6.43E-01,-6.43E-01,-2.49E-06,3.13E+01
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,3.15E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,3.16E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,3.18E+01
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,3.24E+01
-3.00E-01,3.85E+00,-3.85E+00,-1.50E-05,3.26E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.74E-05,3.28E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,3.30E+01
-4.50E-01,5.77E+00,-5.77E+00,-2.24E-05,3.32E+01
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,3.34E+01
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,3.35E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,3.37E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,3.39E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.74E-05,3.41E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,3.43E+01
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,3.45E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,3.49E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,3.50E+01
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,3.52E+01
-5.00E-02,6.43E-01,-6.43E-01,-2.50E-06,3.54E+01
0.00E+00,5.63E-06,5.63E-06,2.18E-11,3.67E+01
0.00E+00,5.56E-06,5.56E-06,2.16E-11,3.73E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,3.80E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,3.82E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,3.84E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,3.86E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,3.92E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,3.94E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,3.95E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,3.97E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,3.99E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,4.01E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,4.03E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,4.05E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,4.07E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,4.09E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,4.11E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,4.12E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,4.14E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,4.18E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,4.20E+01
5.00E-02,6.46E-01,6.46E-01,2.51E-06,4.22E+01
0.00E+00,6.46E-06,6.46E-06,2.51E-11,4.35E+01
-5.00E-02,6.43E-01,-6.43E-01,-2.50E-06,4.43E+01
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,4.45E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,4.46E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,4.48E+01
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,4.54E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,4.56E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.74E-05,4.58E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,4.60E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,4.62E+01
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,4.63E+01
-5.00E-01,6.41E+00,-6.41E+00,-2.49E-05,4.65E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,4.67E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,4.69E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.74E-05,4.71E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,4.73E+01
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,4.75E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,4.79E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,4.80E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.00E-06,4.82E+01
-5.00E-02,6.44E-01,-6.44E-01,-2.50E-06,4.84E+01
0.00E+00,8.64E-06,8.64E-06,3.35E-11,4.97E+01
0.00E+00,5.94E-06,5.94E-06,2.30E-11,5.03E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,5.10E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,5.12E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,5.14E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,5.16E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,5.22E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,5.24E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,5.25E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,5.27E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,5.29E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,5.31E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,5.33E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,5.35E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,5.37E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,5.39E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,5.40E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,5.42E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,5.44E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,5.48E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,5.50E+01
5.00E-02,6.46E-01,6.46E-01,2.51E-06,5.52E+01
0.00E+00,4.10E-05,4.10E-05,1.59E-10,5.58E+01
-5.00E-02,6.43E-01,-6.43E-01,-2.50E-06,5.66E+01
-1.00E-01,1.29E+00,-1.29E+00,-4.99E-06,5.68E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,5.69E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,5.71E+01
-2.50E-01,3.21E+00,-3.21E+00,-1.25E-05,5.77E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,5.79E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.74E-05,5.81E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,5.83E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,5.85E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,5.86E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,5.88E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,5.90E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,5.92E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.74E-05,5.94E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,5.96E+01
-2.50E-01,3.22E+00,-3.22E+00,-1.25E-05,5.98E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,6.02E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,6.03E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.00E-06,6.05E+01
-5.00E-02,6.44E-01,-6.44E-01,-2.50E-06,6.07E+01
0.00E+00,3.66E-05,3.66E-05,1.42E-10,6.13E+01
0.00E+00,2.70E-05,2.70E-05,1.05E-10,6.15E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,6.23E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,6.25E+01
1.50E-01,1.94E+00,1.94E+00,7.52E-06,6.27E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,6.29E+01
2.50E-01,3.23E+00,3.23E+00,1.25E-05,6.34E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,6.36E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,6.38E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,6.40E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,6.42E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,6.44E+01
5.00E-01,6.44E+00,6.44E+00,2.50E-05,6.46E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,6.47E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,6.49E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,6.51E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,6.53E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,6.55E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,6.57E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,6.61E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,6.63E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,6.64E+01
0.00E+00,1.10E-05,1.10E-05,4.27E-11,6.78E+01
-5.00E-02,6.44E-01,-6.44E-01,-2.50E-06,6.85E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.00E-06,6.87E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,6.89E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.98E-06,6.91E+01
-2.50E-01,3.22E+00,-3.22E+00,-1.25E-05,6.97E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,6.99E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.75E-05,7.00E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,7.02E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,7.04E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,7.06E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,7.08E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,7.10E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,7.12E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.75E-05,7.14E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,7.15E+01
-2.50E-01,3.22E+00,-3.22E+00,-1.25E-05,7.17E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.99E-06,7.21E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.50E-06,7.23E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.00E-06,7.25E+01
-5.00E-02,6.44E-01,-6.44E-01,-2.50E-06,7.27E+01
0.00E+00,3.44E-05,3.44E-05,1.34E-10,7.33E+01
0.00E+00,3.12E-05,3.12E-05,1.21E-10,7.35E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,7.43E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,7.44E+01
1.50E-01,1.94E+00,1.94E+00,7.52E-06,7.46E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,7.48E+01
2.50E-01,3.23E+00,3.23E+00,1.25E-05,7.54E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,7.56E+01
3.50E-01,4.52E+00,4.52E+00,1.75E-05,7.58E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,7.60E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,7.61E+01
5.00E-01,6.45E+00,6.45E+00,2.50E-05,7.63E+01
5.00E-01,6.45E+00,6.45E+00,2.50E-05,7.65E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,7.67E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,7.69E+01
3.50E-01,4.51E+00,4.51E+00,1.75E-05,7.71E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,7.73E+01
2.50E-01,3.22E+00,3.22E+00,1.25E-05,7.75E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,7.76E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,7.80E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,7.82E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,7.84E+01
0.00E+00,1.09E-05,1.09E-05,4.25E-11,7.97E+01
-5.00E-02,6.44E-01,-6.44E-01,-2.50E-06,8.05E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.00E-06,8.07E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.49E-06,8.09E+01
-2.00E-01,2.57E+00,-2.57E+00,-9.99E-06,8.11E+01
-2.50E-01,3.22E+00,-3.22E+00,-1.25E-05,8.16E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,8.18E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.75E-05,8.20E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,8.22E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,8.24E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,8.26E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,8.28E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,8.29E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,8.31E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.75E-05,8.33E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,8.35E+01
-2.50E-01,3.22E+00,-3.22E+00,-1.25E-05,8.37E+01
-2.00E-01,2.58E+00,-2.58E+00,-9.99E-06,8.41E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.50E-06,8.43E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.00E-06,8.45E+01
-5.00E-02,6.44E-01,-6.44E-01,-2.50E-06,8.46E+01
0.00E+00,8.28E-06,8.28E-06,3.21E-11,8.60E+01
0.00E+00,5.41E-06,5.41E-06,2.10E-11,8.65E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,8.72E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,8.74E+01
1.50E-01,1.94E+00,1.94E+00,7.52E-06,8.76E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,8.78E+01
2.50E-01,3.23E+00,3.23E+00,1.25E-05,8.84E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,8.86E+01
3.50E-01,4.52E+00,4.52E+00,1.75E-05,8.88E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,8.90E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,8.91E+01
5.00E-01,6.45E+00,6.45E+00,2.50E-05,8.93E+01
5.00E-01,6.45E+00,6.45E+00,2.50E-05,8.95E+01
4.50E-01,5.80E+00,5.80E+00,2.25E-05,8.97E+01
4.00E-01,5.16E+00,5.16E+00,2.00E-05,8.99E+01
3.50E-01,4.52E+00,4.52E+00,1.75E-05,9.01E+01
3.00E-01,3.87E+00,3.87E+00,1.50E-05,9.03E+01
2.50E-01,3.23E+00,3.23E+00,1.25E-05,9.05E+01
2.00E-01,2.58E+00,2.58E+00,1.00E-05,9.06E+01
1.50E-01,1.94E+00,1.94E+00,7.51E-06,9.10E+01
1.00E-01,1.29E+00,1.29E+00,5.01E-06,9.12E+01
5.00E-02,6.47E-01,6.47E-01,2.51E-06,9.14E+01
0.00E+00,3.42E-05,3.42E-05,1.33E-10,9.20E+01
-5.00E-02,6.44E-01,-6.44E-01,-2.50E-06,9.28E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.00E-06,9.30E+01
-1.50E-01,1.93E+00,-1.93E+00,-7.50E-06,9.32E+01
-2.00E-01,2.58E+00,-2.58E+00,-9.99E-06,9.33E+01
-2.50E-01,3.22E+00,-3.22E+00,-1.25E-05,9.39E+01
-3.00E-01,3.86E+00,-3.86E+00,-1.50E-05,9.41E+01
-3.50E-01,4.50E+00,-4.50E+00,-1.75E-05,9.43E+01
-4.00E-01,5.14E+00,-5.14E+00,-1.99E-05,9.45E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,9.47E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,9.49E+01
-5.00E-01,6.42E+00,-6.42E+00,-2.49E-05,9.51E+01
-4.50E-01,5.78E+00,-5.78E+00,-2.24E-05,9.52E+01
